Balancing authority hourly actual and forecast demand 08 per 26 per 2018 – 09 per 02 per 2018 EDT
https://www.eia.gov/realtime_grid/?src=data#/data/graphs?end=20180902T00&start=20180826T00&bas=000002&regions=0
19:26:06 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
09/3/2018 00H EDT,31060,32599
09/2/2018 23H EDT,31596,33022
09/2/2018 22H EDT,31884,33093
09/2/2018 21H EDT,31605,33057
09/2/2018 20H EDT,30509,32141
09/2/2018 19H EDT,28854,30791
09/2/2018 18H EDT,27212,29197
09/2/2018 17H EDT,25773,27701
09/2/2018 16H EDT,24481,26113
09/2/2018 15H EDT,23757,24984
09/2/2018 14H EDT,23450,24086
09/2/2018 13H EDT,23325,23394
09/2/2018 12H EDT,22883,22778
09/2/2018 11H EDT,22164,22099
09/2/2018 10H EDT,22263,22099
09/2/2018 09H EDT,21964,21962
09/2/2018 08H EDT,21813,21782
09/2/2018 07H EDT,22036,21947
09/2/2018 06H EDT,22588,22480
09/2/2018 05H EDT,23589,23410
09/2/2018 04H EDT,24806,24725
09/2/2018 03H EDT,26289,26834
09/2/2018 02H EDT,28081,28945
09/2/2018 01H EDT,30060,31123
09/2/2018 00H EDT,31577,32752
09/1/2018 23H EDT,32030,33218
09/1/2018 22H EDT,32258,33486
09/1/2018 21H EDT,32150,33875
09/1/2018 20H EDT,31240,33252
09/1/2018 19H EDT,29755,32063
09/1/2018 18H EDT,28255,30568
09/1/2018 17H EDT,27188,29227
09/1/2018 16H EDT,25980,27889
09/1/2018 15H EDT,25213,26853
09/1/2018 14H EDT,24967,26170
09/1/2018 13H EDT,24718,25354
09/1/2018 12H EDT,24456,24521
09/1/2018 11H EDT,23423,23634
09/1/2018 10H EDT,23131,23313
09/1/2018 09H EDT,22697,22937
09/1/2018 08H EDT,22402,22668
09/1/2018 07H EDT,22555,22738
09/1/2018 06H EDT,23186,23298
09/1/2018 05H EDT,24193,24286
09/1/2018 04H EDT,25611,25694
09/1/2018 03H EDT,27345,27990
09/1/2018 02H EDT,29561,30397
09/1/2018 01H EDT,31872,33101
09/1/2018 00H EDT,33739,35096
08/31/2018 23H EDT,34425,35920
08/31/2018 22H EDT,35117,36582
08/31/2018 21H EDT,35475,37359
08/31/2018 20H EDT,35043,37102
08/31/2018 19H EDT,33688,36083
08/31/2018 18H EDT,32161,34641
