Balancing authority hourly actual and forecast demand 01 per 12 per 2019 – 01 per 19 per 2019 EST
https://www.eia.gov/realtime_grid/#/data/graphs?end=20190119T00&start=20190112T00&bas=000002&regions=0
14:05:20 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
01/20/2019 00H EST,23346,24414
01/19/2019 23H EST,23840,25115
01/19/2019 22H EST,24042,25649
01/19/2019 21H EST,23430,25010
01/19/2019 20H EST,21381,22912
01/19/2019 19H EST,19251,21598
01/19/2019 18H EST,17969,20769
01/19/2019 17H EST,17442,20274
01/19/2019 16H EST,17302,20105
01/19/2019 15H EST,17483,20190
01/19/2019 14H EST,17831,20605
01/19/2019 13H EST,18299,20975
01/19/2019 12H EST,19063,21208
01/19/2019 11H EST,20271,20899
01/19/2019 10H EST,20310,20401
01/19/2019 09H EST,19257,19437
01/19/2019 08H EST,18748,18780
01/19/2019 07H EST,18722,18672
01/19/2019 06H EST,19157,18887
01/19/2019 05H EST,19603,19419
01/19/2019 04H EST,20364,20311
01/19/2019 03H EST,21339,21836
01/19/2019 02H EST,22798,23419
01/19/2019 01H EST,24238,24941
01/19/2019 00H EST,25427,26016
01/18/2019 23H EST,25952,26842
01/18/2019 22H EST,26031,27401
01/18/2019 21H EST,25590,26845
01/18/2019 20H EST,23135,24750
01/18/2019 19H EST,21497,23707
01/18/2019 18H EST,20475,23285
01/18/2019 17H EST,20693,23021
01/18/2019 16H EST,20869,23055
01/18/2019 15H EST,20627,23435
01/18/2019 14H EST,20880,24004
01/18/2019 13H EST,21217,24507
01/18/2019 12H EST,22011,24990
01/18/2019 11H EST,23048,25128
01/18/2019 10H EST,21996,23590
01/18/2019 09H EST,19753,21017
01/18/2019 08H EST,18435,19564
01/18/2019 07H EST,17841,19027
01/18/2019 06H EST,17881,19116
01/18/2019 05H EST,18170,19594
01/18/2019 04H EST,19062,20403
01/18/2019 03H EST,20221,21898
01/18/2019 02H EST,22201,23766
01/18/2019 01H EST,23731,25734
01/18/2019 00H EST,25423,27204
01/17/2019 23H EST,26199,28107
01/17/2019 22H EST,26816,28551
01/17/2019 21H EST,26889,28256
01/17/2019 20H EST,25214,26629
01/17/2019 19H EST,24815,25837
01/17/2019 18H EST,24678,25742
01/17/2019 17H EST,23807,25913
01/17/2019 16H EST,24599,25950
01/17/2019 15H EST,25404,26071
01/17/2019 14H EST,25837,26340
01/17/2019 13H EST,25598,26537
01/17/2019 12H EST,25147,26451
