Balancing authority hourly actual and forecast demand 01 per 25 per 2019 – 02 per 01 per 2019 EST
https://www.eia.gov/realtime_grid/#/data/graphs?end=20190201T00&start=20190125T00&bas=000002&regions=0
14:03:41 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
02/2/2019 00H EST,26881,26140
02/1/2019 23H EST,27383,26871
02/1/2019 22H EST,27756,27374
02/1/2019 21H EST,27228,26734
02/1/2019 20H EST,25855,24833
02/1/2019 19H EST,24314,23954
02/1/2019 18H EST,23234,23762
02/1/2019 17H EST,22718,23690
02/1/2019 16H EST,22109,23807
02/1/2019 15H EST,22378,24128
02/1/2019 14H EST,22350,24605
02/1/2019 13H EST,22487,24997
02/1/2019 12H EST,23225,25258
02/1/2019 11H EST,25043,25189
02/1/2019 10H EST,24722,23686
02/1/2019 09H EST,22416,21241
02/1/2019 08H EST,20426,19792
02/1/2019 07H EST,19857,19252
02/1/2019 06H EST,20190,19340
02/1/2019 05H EST,20703,19795
02/1/2019 04H EST,21422,20617
02/1/2019 03H EST,22712,21733
02/1/2019 02H EST,24166,23540
02/1/2019 01H EST,25804,25477
02/1/2019 00H EST,27128,26904
01/31/2019 23H EST,27923,27720
01/31/2019 22H EST,28404,28209
01/31/2019 21H EST,27382,27580
01/31/2019 20H EST,25835,25646
01/31/2019 19H EST,24864,24871
01/31/2019 18H EST,24744,24628
01/31/2019 17H EST,25358,24523
01/31/2019 16H EST,25095,24486
01/31/2019 15H EST,24690,24702
01/31/2019 14H EST,24844,25114
01/31/2019 13H EST,24727,25394
01/31/2019 12H EST,25269,25544
01/31/2019 11H EST,25419,25483
01/31/2019 10H EST,24149,23803
01/31/2019 09H EST,21972,21267
01/31/2019 08H EST,20511,19681
01/31/2019 07H EST,19940,19127
01/31/2019 06H EST,19984,19241
01/31/2019 05H EST,20363,19708
01/31/2019 04H EST,21183,20429
01/31/2019 03H EST,22179,21429
01/31/2019 02H EST,23639,23161
01/31/2019 01H EST,25397,25127
01/31/2019 00H EST,26814,26624
01/30/2019 23H EST,27627,27605
01/30/2019 22H EST,28215,28046
01/30/2019 21H EST,27546,27111
01/30/2019 20H EST,25784,25145
01/30/2019 19H EST,23932,23981
01/30/2019 18H EST,22830,23194
01/30/2019 17H EST,22723,22960
01/30/2019 16H EST,23115,22930
01/30/2019 15H EST,23596,23295
01/30/2019 14H EST,24487,23770
01/30/2019 13H EST,25027,24233
01/30/2019 12H EST,25346,24735
01/30/2019 11H EST,25661,24934
01/30/2019 10H EST,24673,23752
01/30/2019 09H EST,22298,21189
01/30/2019 08H EST,20785,19579
01/30/2019 07H EST,20190,18962
01/30/2019 06H EST,20292,19034
01/30/2019 05H EST,20752,19440
01/30/2019 04H EST,21200,20182
01/30/2019 03H EST,22235,21305
01/30/2019 02H EST,23693,22995
01/30/2019 01H EST,25626,24922
01/30/2019 00H EST,27234,26450
01/29/2019 23H EST,27863,27472
01/29/2019 22H EST,28245,27897
01/29/2019 21H EST,27499,26868
01/29/2019 20H EST,25796,24884
01/29/2019 19H EST,25073,23914
01/29/2019 18H EST,24117,23314
01/29/2019 17H EST,23690,22918
01/29/2019 16H EST,23074,22706
01/29/2019 15H EST,23367,22937
01/29/2019 14H EST,23812,23367
01/29/2019 13H EST,24736,23870
01/29/2019 12H EST,24927,24447
01/29/2019 11H EST,25264,24837
01/29/2019 10H EST,24212,23556
