Balancing authority hourly actual and forecast demand 08 per 12 per 2018 – 08 per 19 per 2018 EDT
https://www.eia.gov/realtime_grid/#/data/graphs?end=20180819T00&start=20180812T00&bas=000002&regions=0
14:08:34 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
08/20/2018 00H EST,37393,36855
08/19/2018 23H EST,37984,37732
08/19/2018 22H EST,39140,38596
08/19/2018 21H EST,39305,38794
08/19/2018 20H EST,38416,38017
08/19/2018 19H EST,36747,36688
08/19/2018 18H EST,34890,34607
08/19/2018 17H EST,33193,32670
08/19/2018 16H EST,31148,30667
08/19/2018 15H EST,29261,28772
08/19/2018 14H EST,27895,27093
08/19/2018 13H EST,26492,25641
08/19/2018 12H EST,25442,24720
08/19/2018 11H EST,24520,23980
08/19/2018 10H EST,24024,23783
08/19/2018 09H EST,24025,23913
08/19/2018 08H EST,24073,23908
08/19/2018 07H EST,24506,24343
08/19/2018 06H EST,25302,25176
08/19/2018 05H EST,26573,26335
08/19/2018 04H EST,28230,28042
08/19/2018 03H EST,30289,29955
08/19/2018 02H EST,32671,32441
08/19/2018 01H EST,35324,34977
08/19/2018 00H EST,37258,36733
08/18/2018 23H EST,38219,37772
08/18/2018 22H EST,39722,38864
08/18/2018 21H EST,40295,39265
08/18/2018 20H EST,39857,38735
08/18/2018 19H EST,38785,37728
08/18/2018 18H EST,36931,36195
08/18/2018 17H EST,34934,34547
08/18/2018 16H EST,33274,32854
08/18/2018 15H EST,31701,31196
08/18/2018 14H EST,30565,29636
08/18/2018 13H EST,29435,28139
08/18/2018 12H EST,28281,26894
08/18/2018 11H EST,27139,25911
08/18/2018 10H EST,26541,25468
08/18/2018 09H EST,25970,25180
08/18/2018 08H EST,25431,24934
08/18/2018 07H EST,25735,25295
08/18/2018 06H EST,26468,26189
08/18/2018 05H EST,27419,27613
08/18/2018 04H EST,29335,29478
08/18/2018 03H EST,31720,30451
08/18/2018 02H EST,34336,33122
08/18/2018 01H EST,37147,36059
08/18/2018 00H EST,39362,38247
08/17/2018 23H EST,40349,39141
08/17/2018 22H EST,41917,40355
08/17/2018 21H EST,42838,41313
08/17/2018 20H EST,42678,41123
08/17/2018 19H EST,41658,40180
08/17/2018 18H EST,40089,38725
08/17/2018 17H EST,38340,36969
08/17/2018 16H EST,36609,35166
08/17/2018 15H EST,34620,33768
08/17/2018 14H EST,33417,32406
08/17/2018 13H EST,32033,31088
08/17/2018 12H EST,31087,30065
08/17/2018 11H EST,29822,28915
08/17/2018 10H EST,28434,27601
08/17/2018 09H EST,26947,26049
08/17/2018 08H EST,25882,24930
08/17/2018 07H EST,25699,24732
