Balancing authority hourly actual and forecast demand 12 per 30 per 2018 – 01 per 06 per 2019 EST
https://www.eia.gov/realtime_grid/?src=data#/data/graphs?end=20190106T00&start=20181230T00&bas=000002&regions=0
19:33:37 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
01/7/2019 00H EDT,25978,26066
01/6/2019 23H EDT,26707,26927
01/6/2019 22H EDT,27000,27447
01/6/2019 21H EDT,26734,26563
01/6/2019 20H EDT,24296,23267
01/6/2019 19H EDT,22821,21803
01/6/2019 18H EDT,22321,21528
01/6/2019 17H EDT,22259,21596
01/6/2019 16H EDT,22069,21681
01/6/2019 15H EDT,21900,21782
01/6/2019 14H EDT,21833,21990
01/6/2019 13H EDT,21588,22198
01/6/2019 12H EDT,21233,21987
01/6/2019 11H EDT,21052,21585
01/6/2019 10H EDT,20603,20904
01/6/2019 09H EDT,20009,19990
01/6/2019 08H EDT,19913,19596
01/6/2019 07H EDT,19785,19570
01/6/2019 06H EDT,20084,19893
01/6/2019 05H EDT,20679,20354
01/6/2019 04H EDT,21508,21156
01/6/2019 03H EDT,22416,21746
01/6/2019 02H EDT,23820,23205
01/6/2019 01H EDT,25146,24531
01/6/2019 00H EDT,26032,25463
01/5/2019 23H EDT,26711,26069
01/5/2019 22H EDT,27089,26596
01/5/2019 21H EDT,27205,26059
01/5/2019 20H EDT,25745,23425
01/5/2019 19H EDT,25126,22112
01/5/2019 18H EDT,24993,21953
01/5/2019 17H EDT,24743,22092
01/5/2019 16H EDT,24803,22317
01/5/2019 15H EDT,24885,22728
01/5/2019 14H EDT,24928,23262
01/5/2019 13H EDT,24943,23643
01/5/2019 12H EDT,24151,23527
01/5/2019 11H EDT,23155,22712
01/5/2019 10H EDT,22368,22041
01/5/2019 09H EDT,21379,20867
01/5/2019 08H EDT,20744,20344
01/5/2019 07H EDT,20622,20166
01/5/2019 06H EDT,20863,20470
01/5/2019 05H EDT,20908,21069
01/5/2019 04H EDT,21834,22011
01/5/2019 03H EDT,22940,22880
01/5/2019 02H EDT,24446,24579
01/5/2019 01H EDT,25862,26156
01/5/2019 00H EDT,26998,27093
01/4/2019 23H EDT,27509,27701
01/4/2019 22H EDT,27899,28141
01/4/2019 21H EDT,27643,27659
01/4/2019 20H EDT,25262,24897
01/4/2019 19H EDT,23430,23479
01/4/2019 18H EDT,22832,22622
01/4/2019 17H EDT,22454,22343
01/4/2019 16H EDT,22409,22247
01/4/2019 15H EDT,23087,22738
01/4/2019 14H EDT,23870,23584
01/4/2019 13H EDT,24899,24481
01/4/2019 12H EDT,25656,25389
01/4/2019 11H EDT,26029,26210
01/4/2019 10H EDT,25108,25472
01/4/2019 09H EDT,22978,22947
01/4/2019 08H EDT,21631,21433
01/4/2019 07H EDT,21049,20816
01/4/2019 06H EDT,21036,20839
01/4/2019 05H EDT,21423,21188
01/4/2019 04H EDT,22065,21957
01/4/2019 03H EDT,23091,23193
01/4/2019 02H EDT,24744,24909
01/4/2019 01H EDT,26453,26706
01/4/2019 00H EDT,27605,27982
01/3/2019 23H EDT,28135,28726
01/3/2019 22H EDT,28357,29097
01/3/2019 21H EDT,27880,28209
01/3/2019 20H EDT,25301,25016
01/3/2019 19H EDT,23736,23596
01/3/2019 18H EDT,23365,23007
01/3/2019 17H EDT,23030,22794
01/3/2019 16H EDT,22896,22883
01/3/2019 15H EDT,23270,23404
01/3/2019 14H EDT,24096,24336
01/3/2019 13H EDT,25074,25425
01/3/2019 12H EDT,25987,26439
01/3/2019 11H EDT,26394,26960
01/3/2019 10H EDT,25335,26034
01/3/2019 09H EDT,23249,23599
01/3/2019 08H EDT,21966,21840
01/3/2019 07H EDT,21344,21167
