Balancing authority hourly actual and forecast demand 08 per 05 per 2018 – 08 per 12 per 2018 EDT
https://www.eia.gov/realtime_grid/#/data/graphs?end=20180812T00&start=20180805T00&bas=000002&regions=0
14:08:05 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
08/6/2018 00H EST,36970,37194
08/5/2018 23H EST,37709,38170
08/5/2018 22H EST,38891,38960
08/5/2018 21H EST,38612,38624
08/5/2018 20H EST,37442,37586
08/5/2018 19H EST,35999,36196
08/5/2018 18H EST,34460,34555
08/5/2018 17H EST,32598,32598
08/5/2018 16H EST,30798,30565
08/5/2018 15H EST,29026,28856
08/5/2018 14H EST,27452,27216
08/5/2018 13H EST,26105,25990
08/5/2018 12H EST,25079,24845
08/5/2018 11H EST,24335,24035
08/5/2018 10H EST,24111,23660
08/5/2018 09H EST,24287,23887
08/5/2018 08H EST,24327,23875
08/5/2018 07H EST,24803,24302
08/5/2018 06H EST,25641,25079
08/5/2018 05H EST,26380,26359
08/5/2018 04H EST,27987,27879
08/5/2018 03H EST,30114,30812
08/5/2018 02H EST,32776,33430
08/5/2018 01H EST,35418,35980
08/5/2018 00H EST,37044,37445
