Balancing authority hourly actual and forecast demand 09 per 30 per 2018 – 10 per 07 per 2018 EDT
https://www.eia.gov/realtime_grid/#/data/graphs?end=20181007T00&start=20180930T00&bas=000002&regions=0
14:09:22 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
10/8/2018 00H EST,26761,26852
10/7/2018 23H EST,27493,27557
10/7/2018 22H EST,26750,26599
10/7/2018 21H EST,25406,25442
10/7/2018 20H EST,24358,24537
10/7/2018 19H EST,23524,23551
10/7/2018 18H EST,22684,22462
10/7/2018 17H EST,21937,21596
10/7/2018 16H EST,21782,21118
10/7/2018 15H EST,21709,20910
10/7/2018 14H EST,21605,20921
10/7/2018 13H EST,21427,21077
10/7/2018 12H EST,21104,20759
10/7/2018 11H EST,20963,20383
10/7/2018 10H EST,20901,20363
10/7/2018 09H EST,20412,19924
10/7/2018 08H EST,20100,19681
10/7/2018 07H EST,20116,19751
10/7/2018 06H EST,20498,20129
10/7/2018 05H EST,21117,20700
10/7/2018 04H EST,21857,21663
10/7/2018 03H EST,22678,22328
10/7/2018 02H EST,23947,23755
10/7/2018 01H EST,25306,25284
10/7/2018 00H EST,26325,26352
10/6/2018 23H EST,26986,27096
10/6/2018 22H EST,26304,26191
10/6/2018 21H EST,25180,25590
10/6/2018 20H EST,24397,25044
10/6/2018 19H EST,23756,24345
10/6/2018 18H EST,23266,23411
10/6/2018 17H EST,23149,22689
10/6/2018 16H EST,23124,22298
10/6/2018 15H EST,23228,22223
10/6/2018 14H EST,23560,22337
10/6/2018 13H EST,23586,22436
10/6/2018 12H EST,23384,22401
10/6/2018 11H EST,22905,22003
10/6/2018 10H EST,22429,21690
10/6/2018 09H EST,21542,20749
10/6/2018 08H EST,21096,20156
10/6/2018 07H EST,21094,20126
10/6/2018 06H EST,21442,20507
10/6/2018 05H EST,21687,21157
10/6/2018 04H EST,22724,22161
10/6/2018 03H EST,23974,23453
10/6/2018 02H EST,25768,25267
10/6/2018 01H EST,27500,26983
10/6/2018 00H EST,28825,28364
10/5/2018 23H EST,29710,29334
10/5/2018 22H EST,29268,28836
10/5/2018 21H EST,29042,28791
10/5/2018 20H EST,28620,28418
10/5/2018 19H EST,27952,27490
10/5/2018 18H EST,27372,26581
10/5/2018 17H EST,27162,25999
10/5/2018 16H EST,26565,25278
10/5/2018 15H EST,26333,25170
10/5/2018 14H EST,26280,25503
10/5/2018 13H EST,26144,25676
10/5/2018 12H EST,25996,25769
