Balancing authority hourly actual and forecast demand 08 per 20 per 2018 – 08 per 27 per 2018 EDT
https://www.eia.gov/realtime_grid/#/data/graphs?end=20180827T00&start=20180820T00&bas=000002&regions=0
14:08:57 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
08/28/2018 00H EST,33931,34060
08/27/2018 23H EST,34293,34643
08/27/2018 22H EST,34782,35164
08/27/2018 21H EST,35000,35527
08/27/2018 20H EST,34367,35223
08/27/2018 19H EST,33283,34100
08/27/2018 18H EST,31894,32696
08/27/2018 17H EST,30578,31366
08/27/2018 16H EST,29666,30219
08/27/2018 15H EST,29096,29509
08/27/2018 14H EST,28835,28911
08/27/2018 13H EST,28564,28542
08/27/2018 12H EST,28192,27998
08/27/2018 11H EST,27628,27217
08/27/2018 10H EST,26195,25974
08/27/2018 09H EST,23980,24109
08/27/2018 08H EST,22341,22921
08/27/2018 07H EST,21838,22517
08/27/2018 06H EST,22044,22933
08/27/2018 05H EST,22688,23740
08/27/2018 04H EST,23853,24981
08/27/2018 03H EST,25351,25679
08/27/2018 02H EST,27882,27870
08/27/2018 01H EST,30485,30376
08/27/2018 00H EST,32265,32134
08/26/2018 23H EST,32472,32471
08/26/2018 22H EST,32826,32842
08/26/2018 21H EST,32598,32729
08/26/2018 20H EST,31486,31888
08/26/2018 19H EST,30155,30395
08/26/2018 18H EST,28638,28840
08/26/2018 17H EST,27207,27462
08/26/2018 16H EST,25810,26137
08/26/2018 15H EST,24900,25288
08/26/2018 14H EST,24360,24459
08/26/2018 13H EST,24246,23729
08/26/2018 12H EST,23967,23297
08/26/2018 11H EST,23059,22753
08/26/2018 10H EST,22576,22604
08/26/2018 09H EST,22291,22372
08/26/2018 08H EST,22068,22134
08/26/2018 07H EST,22274,22342
08/26/2018 06H EST,22869,22961
08/26/2018 05H EST,23780,23896
08/26/2018 04H EST,24993,25265
08/26/2018 03H EST,26594,26462
08/26/2018 02H EST,28683,28634
08/26/2018 01H EST,30728,30834
08/26/2018 00H EST,32191,32405
08/25/2018 23H EST,32527,32882
08/25/2018 22H EST,33129,33559
08/25/2018 21H EST,33312,33789
08/25/2018 20H EST,32764,33103
08/25/2018 19H EST,31527,31817
08/25/2018 18H EST,29978,30258
08/25/2018 17H EST,28606,28788
08/25/2018 16H EST,27668,27513
08/25/2018 15H EST,26548,26620
08/25/2018 14H EST,26141,26015
08/25/2018 13H EST,25818,25320
08/25/2018 12H EST,25184,24695
08/25/2018 11H EST,24454,24162
08/25/2018 10H EST,24026,23821
08/25/2018 09H EST,23438,23381
08/25/2018 08H EST,22908,23063
08/25/2018 07H EST,22987,23095
08/25/2018 06H EST,23536,23659
08/25/2018 05H EST,24492,24595
08/25/2018 04H EST,25882,26024
08/25/2018 03H EST,27586,27621
08/25/2018 02H EST,29705,30134
08/25/2018 01H EST,32011,32680
08/25/2018 00H EST,33585,34423
08/24/2018 23H EST,33881,34932
08/24/2018 22H EST,34752,35810
08/24/2018 21H EST,35455,36465
08/24/2018 20H EST,35220,36245
08/24/2018 19H EST,34286,35279
08/24/2018 18H EST,33046,33869
08/24/2018 17H EST,31867,32448
08/24/2018 16H EST,30870,30990
08/24/2018 15H EST,30339,30218
08/24/2018 14H EST,30099,29630
08/24/2018 13H EST,29797,29031
08/24/2018 12H EST,29097,28400
08/24/2018 11H EST,28131,27612
08/24/2018 10H EST,26871,26395
08/24/2018 09H EST,24928,24736
08/24/2018 08H EST,23703,23596
08/24/2018 07H EST,23475,23341
08/24/2018 06H EST,23951,23782
08/24/2018 05H EST,24802,24701
08/24/2018 04H EST,26186,26071
08/24/2018 03H EST,27980,28562
08/24/2018 02H EST,30610,31334
08/24/2018 01H EST,33614,34224
08/24/2018 00H EST,35691,36118
08/23/2018 23H EST,36285,36563
08/23/2018 22H EST,37141,37578
08/23/2018 21H EST,37723,38119
08/23/2018 20H EST,37482,37722
08/23/2018 19H EST,36477,36748
08/23/2018 18H EST,35172,35216
08/23/2018 17H EST,33728,33685
08/23/2018 16H EST,32516,32117
08/23/2018 15H EST,31688,31272
08/23/2018 14H EST,31064,30558
08/23/2018 13H EST,30350,29918
08/23/2018 12H EST,29486,29142
08/23/2018 11H EST,28595,28313
08/23/2018 10H EST,27391,26978
08/23/2018 09H EST,25674,25232
08/23/2018 08H EST,24572,24028
08/23/2018 07H EST,24261,23787
08/23/2018 06H EST,24659,24302
08/23/2018 05H EST,25394,25291
08/23/2018 04H EST,26752,26733
08/23/2018 03H EST,28674,28093
08/23/2018 02H EST,31413,30868
08/23/2018 01H EST,34448,33906
08/23/2018 00H EST,36527,36155
08/22/2018 23H EST,37226,36725
08/22/2018 22H EST,38249,37556
08/22/2018 21H EST,38724,38149
08/22/2018 20H EST,38366,37946
08/22/2018 19H EST,37459,36910
08/22/2018 18H EST,35984,35529
08/22/2018 17H EST,34304,33910
08/22/2018 16H EST,32840,32334
08/22/2018 15H EST,32025,31351
08/22/2018 14H EST,31530,30509
08/22/2018 13H EST,30752,29767
08/22/2018 12H EST,29817,29251
08/22/2018 11H EST,29087,28443
08/22/2018 10H EST,27932,27038
08/22/2018 09H EST,25990,25157
08/22/2018 08H EST,24999,23882
08/22/2018 07H EST,24311,23636
08/22/2018 06H EST,24739,24111
08/22/2018 05H EST,25612,25086
08/22/2018 04H EST,26981,26543
08/22/2018 03H EST,28745,29032
08/22/2018 02H EST,31536,32074
08/22/2018 01H EST,34721,35135
08/22/2018 00H EST,36762,37315
08/21/2018 23H EST,37286,37961
08/21/2018 22H EST,38294,39117
08/21/2018 21H EST,38732,39712
08/21/2018 20H EST,38269,39472
08/21/2018 19H EST,37171,38482
08/21/2018 18H EST,35555,37151
08/21/2018 17H EST,34140,35454
08/21/2018 16H EST,32626,33820
08/21/2018 15H EST,31786,32680
08/21/2018 14H EST,31450,31619
08/21/2018 13H EST,30919,30594
08/21/2018 12H EST,29799,29632
08/21/2018 11H EST,29091,28628
08/21/2018 10H EST,27783,27202
08/21/2018 09H EST,25996,25603
08/21/2018 08H EST,24877,24434
08/21/2018 07H EST,24707,24176
08/21/2018 06H EST,25162,24663
08/21/2018 05H EST,26073,25680
08/21/2018 04H EST,27266,27240
08/21/2018 03H EST,28873,30657
08/21/2018 02H EST,31726,33662
08/21/2018 01H EST,35008,36941
08/21/2018 00H EST,37402,39141
08/20/2018 23H EST,38080,40059
08/20/2018 22H EST,39045,41246
08/20/2018 21H EST,39925,41633
08/20/2018 20H EST,39941,41367
08/20/2018 19H EST,38989,40489
08/20/2018 18H EST,37586,39017
08/20/2018 17H EST,36138,37283
08/20/2018 16H EST,34280,35400
