Balancing authority hourly actual and forecast demand 11 per 12 per 2018 – 11 per 19 per 2018 EST
https://www.eia.gov/realtime_grid/?src=data#/data/graphs?end=20181119T00&start=20181112T00&bas=000002&regions=0
19:31:37 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
11/20/2018 00H EDT,27207,28179
11/19/2018 23H EDT,28083,29188
11/19/2018 22H EDT,28748,29759
11/19/2018 21H EDT,28916,29565
11/19/2018 20H EDT,27132,27087
11/19/2018 19H EDT,26204,26100
11/19/2018 18H EDT,25914,25577
11/19/2018 17H EDT,25768,25256
11/19/2018 16H EDT,25286,24860
11/19/2018 15H EDT,25271,24731
11/19/2018 14H EDT,25489,24901
11/19/2018 13H EDT,25836,25093
11/19/2018 12H EDT,25885,25480
11/19/2018 11H EDT,24991,25520
11/19/2018 10H EDT,24375,24322
11/19/2018 09H EDT,22358,21962
11/19/2018 08H EDT,20841,20343
11/19/2018 07H EDT,20147,19645
11/19/2018 06H EDT,20136,19608
11/19/2018 05H EDT,20486,19936
11/19/2018 04H EDT,21115,20567
11/19/2018 03H EDT,22056,21029
11/19/2018 02H EDT,23414,22483
11/19/2018 01H EDT,24444,23954
11/19/2018 00H EDT,25233,25167
11/18/2018 23H EDT,25876,26002
11/18/2018 22H EDT,26318,26467
11/18/2018 21H EDT,26231,26225
11/18/2018 20H EDT,23912,23633
11/18/2018 19H EDT,22596,22219
11/18/2018 18H EDT,21939,21367
11/18/2018 17H EDT,21211,20646
11/18/2018 16H EDT,20817,20175
11/18/2018 15H EDT,20663,20042
11/18/2018 14H EDT,20803,20158
11/18/2018 13H EDT,21084,20417
11/18/2018 12H EDT,21221,20651
11/18/2018 11H EDT,20932,20304
11/18/2018 10H EDT,20826,19900
11/18/2018 09H EDT,20259,19475
11/18/2018 08H EDT,19815,19102
11/18/2018 07H EDT,19696,19001
11/18/2018 06H EDT,19898,19196
11/18/2018 05H EDT,20363,19677
11/18/2018 04H EDT,21115,20520
11/18/2018 03H EDT,22133,21570
11/18/2018 02H EDT,23407,22767
11/18/2018 01H EDT,24560,23857
11/18/2018 00H EDT,25277,24765
11/17/2018 23H EDT,25892,25408
11/17/2018 22H EDT,26430,25808
11/17/2018 21H EDT,26537,25714
11/17/2018 20H EDT,24571,23561
11/17/2018 19H EDT,23280,22271
11/17/2018 18H EDT,22503,21791
11/17/2018 17H EDT,22414,21509
11/17/2018 16H EDT,22287,21319
11/17/2018 15H EDT,22411,21359
11/17/2018 14H EDT,22407,21644
11/17/2018 13H EDT,22653,21779
11/17/2018 12H EDT,22924,21708
11/17/2018 11H EDT,22513,21075
11/17/2018 10H EDT,22063,21064
11/17/2018 09H EDT,21127,20331
11/17/2018 08H EDT,20418,19653
11/17/2018 07H EDT,20205,19509
11/17/2018 06H EDT,20403,19749
11/17/2018 05H EDT,20927,20236
11/17/2018 04H EDT,21741,21068
11/17/2018 03H EDT,22826,22582
11/17/2018 02H EDT,24292,24139
11/17/2018 01H EDT,25685,25662
11/17/2018 00H EDT,26757,26863
11/16/2018 23H EDT,27511,27758
11/16/2018 22H EDT,28278,28614
11/16/2018 21H EDT,28689,28889
11/16/2018 20H EDT,26979,27097
11/16/2018 19H EDT,26102,26295
11/16/2018 18H EDT,25580,25704
11/16/2018 17H EDT,25189,25227
11/16/2018 16H EDT,24817,24652
11/16/2018 15H EDT,24865,24511
11/16/2018 14H EDT,25162,24627
11/16/2018 13H EDT,25417,24838
11/16/2018 12H EDT,25553,25078
11/16/2018 11H EDT,25560,25222
11/16/2018 10H EDT,24643,23924
11/16/2018 09H EDT,22546,21904
11/16/2018 08H EDT,21228,20360
11/16/2018 07H EDT,20848,19932
11/16/2018 06H EDT,20916,20047
11/16/2018 05H EDT,21318,20560
11/16/2018 04H EDT,22073,21370
11/16/2018 03H EDT,23142,22509
11/16/2018 02H EDT,24474,23999
11/16/2018 01H EDT,26054,25803
11/16/2018 00H EDT,27379,27271
11/15/2018 23H EDT,28156,28251
11/15/2018 22H EDT,28555,29056
11/15/2018 21H EDT,28809,29240
11/15/2018 20H EDT,27027,27346
11/15/2018 19H EDT,26018,26439
11/15/2018 18H EDT,25708,25914
