Balancing authority hourly actual and forecast demand 10 per 07 per 2018 – 10 per 14 per 2018 EDT
https://www.eia.gov/realtime_grid/#/data/graphs?end=20181014T00&start=20181007T00&bas=000002&regions=0
14:17:44 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
10/15/2018 00H EST,25769,26684
10/14/2018 23H EST,26539,27347
10/14/2018 22H EST,25889,26444
10/14/2018 21H EST,24301,25032
10/14/2018 20H EST,22795,23846
10/14/2018 19H EST,21442,22753
10/14/2018 18H EST,20866,21721
10/14/2018 17H EST,20608,21086
10/14/2018 16H EST,20774,20706
10/14/2018 15H EST,20962,20558
10/14/2018 14H EST,21176,20546
10/14/2018 13H EST,21294,20565
10/14/2018 12H EST,21085,20401
10/14/2018 11H EST,20694,20235
10/14/2018 10H EST,20473,20201
10/14/2018 09H EST,19820,19631
10/14/2018 08H EST,19530,19330
10/14/2018 07H EST,19446,19374
10/14/2018 06H EST,19476,19745
10/14/2018 05H EST,20005,20355
10/14/2018 04H EST,20749,21205
10/14/2018 03H EST,21758,22008
10/14/2018 02H EST,23236,23401
10/14/2018 01H EST,24592,24825
10/14/2018 00H EST,25575,25800
10/13/2018 23H EST,26268,26569
10/13/2018 22H EST,25850,25987
10/13/2018 21H EST,24580,25027
10/13/2018 20H EST,23528,24441
10/13/2018 19H EST,23102,23709
10/13/2018 18H EST,22836,23104
10/13/2018 17H EST,22756,22766
10/13/2018 16H EST,22702,22692
10/13/2018 15H EST,22645,22694
10/13/2018 14H EST,22714,22952
10/13/2018 13H EST,22817,22975
10/13/2018 12H EST,22905,22777
10/13/2018 11H EST,22512,22156
10/13/2018 10H EST,21992,21693
10/13/2018 09H EST,20950,20843
10/13/2018 08H EST,20434,20333
10/13/2018 07H EST,20377,20296
10/13/2018 06H EST,20774,20682
10/13/2018 05H EST,21416,21234
10/13/2018 04H EST,22169,22249
10/13/2018 03H EST,23357,23539
10/13/2018 02H EST,24890,25378
10/13/2018 01H EST,26509,27282
10/13/2018 00H EST,27892,28709
10/12/2018 23H EST,28967,29773
10/12/2018 22H EST,28912,29447
10/12/2018 21H EST,28450,28930
10/12/2018 20H EST,28090,28594
10/12/2018 19H EST,27507,27735
10/12/2018 18H EST,27034,26882
10/12/2018 17H EST,26603,26220
10/12/2018 16H EST,26031,25423
10/12/2018 15H EST,26004,25119
10/12/2018 14H EST,25931,25001
10/12/2018 13H EST,25538,25028
10/12/2018 12H EST,25276,25197
10/12/2018 11H EST,25291,25198
10/12/2018 10H EST,24135,24156
10/12/2018 09H EST,22325,21931
10/12/2018 08H EST,21001,20618
10/12/2018 07H EST,20768,20169
10/12/2018 06H EST,21040,20383
10/12/2018 05H EST,21464,20924
10/12/2018 04H EST,22188,21795
10/12/2018 03H EST,23137,22858
10/12/2018 02H EST,24903,24545
10/12/2018 01H EST,26856,26531
10/12/2018 00H EST,28194,28066
10/11/2018 23H EST,29114,28947
10/11/2018 22H EST,28460,28136
10/11/2018 21H EST,27412,27197
10/11/2018 20H EST,26817,26794
10/11/2018 19H EST,26197,26290
10/11/2018 18H EST,25751,25605
10/11/2018 17H EST,25492,25173
10/11/2018 16H EST,25317,24778
10/11/2018 15H EST,25798,24814
10/11/2018 14H EST,25643,25055
10/11/2018 13H EST,25889,25256
10/11/2018 12H EST,26043,25366
10/11/2018 11H EST,25862,25427
10/11/2018 10H EST,24563,24408
10/11/2018 09H EST,22598,21960
10/11/2018 08H EST,21224,20576
10/11/2018 07H EST,20816,20261
10/11/2018 06H EST,20954,20337
10/11/2018 05H EST,21502,20880
10/11/2018 04H EST,22067,21705
10/11/2018 03H EST,23110,22833
10/11/2018 02H EST,24905,24668
10/11/2018 01H EST,26853,26945
10/11/2018 00H EST,28307,28639
10/10/2018 23H EST,29277,29596
10/10/2018 22H EST,28650,28878
10/10/2018 21H EST,27637,28056
10/10/2018 20H EST,27057,27566
10/10/2018 19H EST,26437,26895
10/10/2018 18H EST,25815,26214
10/10/2018 17H EST,25384,25603
10/10/2018 16H EST,25294,25096
10/10/2018 15H EST,25643,25088
10/10/2018 14H EST,25758,25275
10/10/2018 13H EST,25654,25507
10/10/2018 12H EST,25665,25562
10/10/2018 11H EST,25707,25547
10/10/2018 10H EST,24592,24532
10/10/2018 09H EST,22595,22238
10/10/2018 08H EST,21221,20898
10/10/2018 07H EST,20888,20500
10/10/2018 06H EST,20872,20611
10/10/2018 05H EST,21282,21123
10/10/2018 04H EST,22172,21937
10/10/2018 03H EST,23468,23052
10/10/2018 02H EST,25189,24889
10/10/2018 01H EST,27214,27078
10/10/2018 00H EST,28808,28747
10/9/2018 23H EST,29809,29903
10/9/2018 22H EST,29335,29260
10/9/2018 21H EST,28665,28551
10/9/2018 20H EST,28024,28450
10/9/2018 19H EST,27649,27725
10/9/2018 18H EST,27186,26997
10/9/2018 17H EST,26862,26262
10/9/2018 16H EST,26390,25680
10/9/2018 15H EST,26027,25480
10/9/2018 14H EST,25936,25473
10/9/2018 13H EST,26179,25516
10/9/2018 12H EST,26238,25536
10/9/2018 11H EST,26082,25514
10/9/2018 10H EST,24919,24538
10/9/2018 09H EST,23043,22156
10/9/2018 08H EST,21633,20958
10/9/2018 07H EST,21216,20495
10/9/2018 06H EST,21412,20679
10/9/2018 05H EST,21783,21250
10/9/2018 04H EST,22485,21996
10/9/2018 03H EST,23783,23461
10/9/2018 02H EST,25624,25325
10/9/2018 01H EST,27848,27511
10/9/2018 00H EST,29527,29148
10/8/2018 23H EST,30522,30404
10/8/2018 22H EST,29931,29729
10/8/2018 21H EST,29315,29193
