Balancing authority hourly actual and forecast demand 10 per 21 per 2018 – 10 per 28 per 2018 EDT
https://www.eia.gov/realtime_grid/#/data/graphs?end=20181028T00&start=20181021T00&bas=000002&regions=0
14:18:39 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
10/29/2018 00H EST,26405,26569
10/28/2018 23H EST,27326,27524
10/28/2018 22H EST,27348,27576
10/28/2018 21H EST,25783,25963
10/28/2018 20H EST,24751,24752
10/28/2018 19H EST,24190,23760
10/28/2018 18H EST,23365,22783
10/28/2018 17H EST,22580,21987
10/28/2018 16H EST,21954,21619
10/28/2018 15H EST,21805,21398
10/28/2018 14H EST,21429,21256
10/28/2018 13H EST,21419,21241
10/28/2018 12H EST,21363,21042
10/28/2018 11H EST,21091,20667
10/28/2018 10H EST,20512,20260
10/28/2018 09H EST,20098,19720
10/28/2018 08H EST,19855,19503
10/28/2018 07H EST,19840,19573
10/28/2018 06H EST,20014,19945
10/28/2018 05H EST,20567,20549
10/28/2018 04H EST,21470,21483
10/28/2018 03H EST,22652,22948
10/28/2018 02H EST,24224,24577
10/28/2018 01H EST,25640,26186
10/28/2018 00H EST,26887,27396
10/27/2018 23H EST,27901,28563
10/27/2018 22H EST,28243,28837
10/27/2018 21H EST,27487,27708
10/27/2018 20H EST,26830,26924
10/27/2018 19H EST,25965,26101
10/27/2018 18H EST,25137,24997
10/27/2018 17H EST,24221,24099
10/27/2018 16H EST,23711,23519
10/27/2018 15H EST,23378,23180
10/27/2018 14H EST,23263,23099
10/27/2018 13H EST,23162,23037
10/27/2018 12H EST,22886,22825
10/27/2018 11H EST,22493,22398
10/27/2018 10H EST,21885,21811
10/27/2018 09H EST,21254,21036
10/27/2018 08H EST,20789,20576
10/27/2018 07H EST,20812,20585
10/27/2018 06H EST,21179,21001
10/27/2018 05H EST,21872,21815
10/27/2018 04H EST,22818,22795
10/27/2018 03H EST,23859,23790
10/27/2018 02H EST,25509,25688
10/27/2018 01H EST,27014,27594
10/27/2018 00H EST,28336,29058
10/26/2018 23H EST,29314,30335
10/26/2018 22H EST,29946,30730
10/26/2018 21H EST,29545,30262
10/26/2018 20H EST,29212,29683
10/26/2018 19H EST,28459,28795
10/26/2018 18H EST,27700,27779
10/26/2018 17H EST,26759,26871
10/26/2018 16H EST,26087,25863
10/26/2018 15H EST,25863,25453
10/26/2018 14H EST,25791,25274
10/26/2018 13H EST,25578,25162
10/26/2018 12H EST,25746,25268
10/26/2018 11H EST,25888,25251
10/26/2018 10H EST,24649,24436
10/26/2018 09H EST,22378,22091
10/26/2018 08H EST,21094,20868
10/26/2018 07H EST,20692,20409
10/26/2018 06H EST,20902,20621
10/26/2018 05H EST,21489,21159
10/26/2018 04H EST,22340,22017
10/26/2018 03H EST,23479,23135
10/26/2018 02H EST,25327,25152
10/26/2018 01H EST,27345,27361
10/26/2018 00H EST,28850,28988
10/25/2018 23H EST,29987,30189
10/25/2018 22H EST,30086,30183
10/25/2018 21H EST,29221,29238
10/25/2018 20H EST,28676,28603
10/25/2018 19H EST,27959,27745
10/25/2018 18H EST,27151,26878
10/25/2018 17H EST,26613,26091
10/25/2018 16H EST,26111,25391
10/25/2018 15H EST,25874,25166
10/25/2018 14H EST,25741,25128
10/25/2018 13H EST,26150,25304
10/25/2018 12H EST,26436,25525
10/25/2018 11H EST,26461,25478
10/25/2018 10H EST,24984,24100
10/25/2018 09H EST,22610,21766
10/25/2018 08H EST,21257,20441
10/25/2018 07H EST,20869,20061
10/25/2018 06H EST,21037,20276
10/25/2018 05H EST,21443,20882
10/25/2018 04H EST,22200,21822
10/25/2018 03H EST,23279,22908
10/25/2018 02H EST,25141,24828
10/25/2018 01H EST,27182,26831
10/25/2018 00H EST,28800,28476
10/24/2018 23H EST,29956,29723
10/24/2018 22H EST,29986,29594
10/24/2018 21H EST,28944,28406
10/24/2018 20H EST,28193,27774
10/24/2018 19H EST,27466,27001
10/24/2018 18H EST,26661,26127
10/24/2018 17H EST,26027,25339
10/24/2018 16H EST,25384,24702
10/24/2018 15H EST,25208,24627
10/24/2018 14H EST,25227,24684
10/24/2018 13H EST,25476,24767
10/24/2018 12H EST,25942,24943
10/24/2018 11H EST,25974,24891
10/24/2018 10H EST,24617,24041
