Balancing authority hourly actual and forecast demand 10 per 28 per 2018 – 11 per 04 per 2018 EDT
https://www.eia.gov/realtime_grid/#/data/graphs?end=20181104T00&start=20181028T00&bas=000002&regions=0
14:19:00 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
11/5/2018 00H EST,25603,25813
11/4/2018 23H EST,26671,27038
11/4/2018 22H EST,27470,27870
11/4/2018 21H EST,27353,27635
11/4/2018 20H EST,25506,25294
11/4/2018 19H EST,24491,23916
11/4/2018 18H EST,23663,22882
11/4/2018 17H EST,23045,22164
11/4/2018 16H EST,22391,21567
11/4/2018 15H EST,22007,21225
11/4/2018 14H EST,21847,21163
11/4/2018 13H EST,21792,21073
11/4/2018 12H EST,21510,20828
11/4/2018 11H EST,21000,20341
11/4/2018 10H EST,20467,19961
11/4/2018 09H EST,20034,19705
11/4/2018 08H EST,19595,19373
11/4/2018 07H EST,19547,19394
11/4/2018 06H EST,19821,19720
11/4/2018 05H EST,20455,20371
11/4/2018 04H EST,20759,20371
11/4/2018 03H EST,21664,21394
11/4/2018 02H EST,22712,22326
11/4/2018 01H EST,23932,23864
11/4/2018 00H EST,26419,26698
11/3/2018 23H EST,27328,27738
11/3/2018 22H EST,27706,28084
11/3/2018 21H EST,26722,27136
11/3/2018 20H EST,26101,26327
11/3/2018 19H EST,25265,25302
11/3/2018 18H EST,24405,24129
11/3/2018 17H EST,23523,23347
11/3/2018 16H EST,23086,22772
11/3/2018 15H EST,23091,22482
11/3/2018 14H EST,23118,22396
11/3/2018 13H EST,23125,22374
11/3/2018 12H EST,22910,22265
11/3/2018 11H EST,22515,21876
11/3/2018 10H EST,21535,21551
11/3/2018 09H EST,20533,20617
11/3/2018 08H EST,20039,20153
11/3/2018 07H EST,20013,20161
11/3/2018 06H EST,20404,20578
11/3/2018 05H EST,21115,21262
11/3/2018 04H EST,22392,22178
11/3/2018 03H EST,23544,22866
11/3/2018 02H EST,25014,24613
11/3/2018 01H EST,26516,26371
11/3/2018 00H EST,28062,27847
11/2/2018 23H EST,29223,29088
11/2/2018 22H EST,29883,29618
11/2/2018 21H EST,29261,28993
11/2/2018 20H EST,29230,28439
11/2/2018 19H EST,28484,27683
11/2/2018 18H EST,27613,27015
11/2/2018 17H EST,26934,26230
