Balancing authority hourly actual and forecast demand 11 per 26 per 2018 – 12 per 03 per 2018 EST
https://www.eia.gov/realtime_grid/?src=data#/data/graphs?end=20181203T00&start=20181126T00&bas=000002&regions=0
19:32:28 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
12/4/2018 00H EDT,28376,28921
12/3/2018 23H EDT,29133,29780
12/3/2018 22H EDT,29574,30194
12/3/2018 21H EDT,29393,29534
12/3/2018 20H EDT,26980,26520
12/3/2018 19H EDT,25096,24796
12/3/2018 18H EDT,24175,24203
12/3/2018 17H EDT,23379,23872
12/3/2018 16H EDT,23212,23840
12/3/2018 15H EDT,23398,24134
12/3/2018 14H EDT,23570,24718
12/3/2018 13H EDT,24331,25539
12/3/2018 12H EDT,25406,26287
12/3/2018 11H EDT,26267,26658
12/3/2018 10H EDT,25127,25481
12/3/2018 09H EDT,22749,22906
12/3/2018 08H EDT,21146,21137
12/3/2018 07H EDT,20429,20344
12/3/2018 06H EDT,20384,20287
12/3/2018 05H EDT,20689,20576
12/3/2018 04H EDT,21298,21113
12/3/2018 03H EDT,22367,22048
12/3/2018 02H EDT,23683,23556
12/3/2018 01H EDT,25501,25052
12/3/2018 00H EDT,26703,26154
12/2/2018 23H EDT,27244,26773
12/2/2018 22H EDT,27540,27134
12/2/2018 21H EDT,27180,26500
12/2/2018 20H EDT,24168,23258
12/2/2018 19H EDT,21951,21392
12/2/2018 18H EDT,20716,20682
12/2/2018 17H EDT,19869,20364
12/2/2018 16H EDT,19792,20269
12/2/2018 15H EDT,19823,20385
12/2/2018 14H EDT,20418,20592
12/2/2018 13H EDT,20887,21116
12/2/2018 12H EDT,21078,21377
12/2/2018 11H EDT,21486,21273
12/2/2018 10H EDT,21285,20994
12/2/2018 09H EDT,20619,20302
12/2/2018 08H EDT,20173,19734
12/2/2018 07H EDT,20097,19641
12/2/2018 06H EDT,20326,19880
12/2/2018 05H EDT,20843,20267
12/2/2018 04H EDT,21532,21142
12/2/2018 03H EDT,22479,22260
12/2/2018 02H EDT,23599,23710
12/2/2018 01H EDT,24982,25089
12/2/2018 00H EDT,25860,25882
12/1/2018 23H EDT,26341,26357
12/1/2018 22H EDT,26796,26735
12/1/2018 21H EDT,26738,26283
12/1/2018 20H EDT,24370,23491
12/1/2018 19H EDT,23039,22043
12/1/2018 18H EDT,22117,21403
12/1/2018 17H EDT,21784,21363
12/1/2018 16H EDT,21860,21439
12/1/2018 15H EDT,21861,21631
12/1/2018 14H EDT,22206,22065
12/1/2018 13H EDT,22637,22405
12/1/2018 12H EDT,22449,22790
12/1/2018 11H EDT,22474,22484
12/1/2018 10H EDT,22228,22020
12/1/2018 09H EDT,21230,21033
12/1/2018 08H EDT,20634,20279
12/1/2018 07H EDT,20514,20110
12/1/2018 06H EDT,20682,20317
12/1/2018 05H EDT,21096,20911
12/1/2018 04H EDT,21537,21814
12/1/2018 03H EDT,22566,21867
12/1/2018 02H EDT,24285,23368
12/1/2018 01H EDT,25760,25025
12/1/2018 00H EDT,26849,26173
11/30/2018 23H EDT,27483,27039
11/30/2018 22H EDT,28058,27508
11/30/2018 21H EDT,28103,27442
11/30/2018 20H EDT,25888,25332
11/30/2018 19H EDT,24660,24585
11/30/2018 18H EDT,24121,24386
11/30/2018 17H EDT,23989,24217
11/30/2018 16H EDT,23871,24107
11/30/2018 15H EDT,23922,24275
11/30/2018 14H EDT,24045,24707
11/30/2018 13H EDT,24792,25147
11/30/2018 12H EDT,25227,25522
11/30/2018 11H EDT,25358,25536
11/30/2018 10H EDT,24459,24428
11/30/2018 09H EDT,22241,22052
11/30/2018 08H EDT,20696,20609
11/30/2018 07H EDT,20366,20002
11/30/2018 06H EDT,20482,20098
11/30/2018 05H EDT,20934,20551
11/30/2018 04H EDT,21597,21283
11/30/2018 03H EDT,22450,22511
11/30/2018 02H EDT,23988,24196
11/30/2018 01H EDT,25966,26006
11/30/2018 00H EDT,27452,27334
11/29/2018 23H EDT,28273,28336
11/29/2018 22H EDT,28763,28802
11/29/2018 21H EDT,28828,28650
11/29/2018 20H EDT,27059,26802
11/29/2018 19H EDT,25838,26112
11/29/2018 18H EDT,25289,26013
11/29/2018 17H EDT,25572,25995
11/29/2018 16H EDT,25628,25895
11/29/2018 15H EDT,26096,25966
11/29/2018 14H EDT,26162,25931
11/29/2018 13H EDT,26201,25902
11/29/2018 12H EDT,25936,25606
11/29/2018 11H EDT,25342,25035
11/29/2018 10H EDT,24029,23851
11/29/2018 09H EDT,21855,21595
11/29/2018 08H EDT,20603,20208
11/29/2018 07H EDT,20027,19707
11/29/2018 06H EDT,19942,19869
11/29/2018 05H EDT,20456,20421
11/29/2018 04H EDT,21142,21193
11/29/2018 03H EDT,22341,22164
11/29/2018 02H EDT,23957,23829
11/29/2018 01H EDT,25877,25538
11/29/2018 00H EDT,27353,26943
11/28/2018 23H EDT,28211,27932
11/28/2018 22H EDT,28840,28445
11/28/2018 21H EDT,28907,28394
11/28/2018 20H EDT,26927,26527
11/28/2018 19H EDT,25645,25728
11/28/2018 18H EDT,25014,25566
11/28/2018 17H EDT,24828,25483
11/28/2018 16H EDT,24721,25204
11/28/2018 15H EDT,24804,25265
11/28/2018 14H EDT,25040,25346
11/28/2018 13H EDT,25099,25406
11/28/2018 12H EDT,25210,25353
11/28/2018 11H EDT,25164,24997
11/28/2018 10H EDT,24079,23840
11/28/2018 09H EDT,22039,21648
11/28/2018 08H EDT,20795,20230
11/28/2018 07H EDT,20162,19694
11/28/2018 06H EDT,20028,19836
11/28/2018 05H EDT,20382,20318
11/28/2018 04H EDT,21160,21043
11/28/2018 03H EDT,22285,22291
11/28/2018 02H EDT,23963,23910
11/28/2018 01H EDT,25888,25705
11/28/2018 00H EDT,27307,27197
11/27/2018 23H EDT,28180,28265
11/27/2018 22H EDT,28821,28882
11/27/2018 21H EDT,28976,28856
11/27/2018 20H EDT,27110,27147
11/27/2018 19H EDT,25993,26434
11/27/2018 18H EDT,25381,26137
11/27/2018 17H EDT,25287,25856
11/27/2018 16H EDT,24965,25451
11/27/2018 15H EDT,24654,25321
11/27/2018 14H EDT,24412,25280
11/27/2018 13H EDT,24584,25254
11/27/2018 12H EDT,24804,25195
11/27/2018 11H EDT,25147,24994
11/27/2018 10H EDT,24297,24004
11/27/2018 09H EDT,21959,21887
11/27/2018 08H EDT,20378,20415
11/27/2018 07H EDT,19794,19857
11/27/2018 06H EDT,19905,20001
11/27/2018 05H EDT,20341,20472
11/27/2018 04H EDT,21016,21182
11/27/2018 03H EDT,22187,22185
11/27/2018 02H EDT,23975,23807
11/27/2018 01H EDT,25861,25664
11/27/2018 00H EDT,27374,27138
11/26/2018 23H EDT,28235,28194
11/26/2018 22H EDT,28936,28736
11/26/2018 21H EDT,29094,28579
11/26/2018 20H EDT,27064,26490
11/26/2018 19H EDT,25682,25506
11/26/2018 18H EDT,24767,25007
11/26/2018 17H EDT,24248,24634
11/26/2018 16H EDT,23804,24279
11/26/2018 15H EDT,23741,24153
11/26/2018 14H EDT,23804,24361
11/26/2018 13H EDT,24032,24658
11/26/2018 12H EDT,24331,24896
11/26/2018 11H EDT,24665,24696
11/26/2018 10H EDT,23765,23640
11/26/2018 09H EDT,21600,21311
11/26/2018 08H EDT,20081,19722
11/26/2018 07H EDT,19592,19029
11/26/2018 06H EDT,19595,18999
11/26/2018 05H EDT,19888,19355
11/26/2018 04H EDT,20279,19959
11/26/2018 03H EDT,21196,21032
11/26/2018 02H EDT,22321,22395
11/26/2018 01H EDT,23961,23922
11/26/2018 00H EDT,25194,25034
