Balancing authority hourly actual and forecast demand 09 per 10 per 2018 – 09 per 17 per 2018 EDT
https://www.eia.gov/realtime_grid/?src=data#/data/graphs?end=20180917T00&start=20180910T00&bas=000002&regions=0
19:29:52 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
09/18/2018 00H EDT,32243,32940
09/17/2018 23H EDT,33250,33503
09/17/2018 22H EDT,33255,33610
09/17/2018 21H EDT,33395,33965
09/17/2018 20H EDT,32680,33570
09/17/2018 19H EDT,31793,32574
09/17/2018 18H EDT,30654,31256
09/17/2018 17H EDT,29634,30083
09/17/2018 16H EDT,28555,28914
09/17/2018 15H EDT,27850,28373
09/17/2018 14H EDT,27328,28003
09/17/2018 13H EDT,26942,27788
09/17/2018 12H EDT,26245,27474
09/17/2018 11H EDT,25754,27004
09/17/2018 10H EDT,25060,25853
09/17/2018 09H EDT,22982,23865
09/17/2018 08H EDT,21698,22632
09/17/2018 07H EDT,21118,22330
09/17/2018 06H EDT,21141,22630
09/17/2018 05H EDT,21811,23328
09/17/2018 04H EDT,22888,24545
09/17/2018 03H EDT,24403,24316
09/17/2018 02H EDT,26607,26561
09/17/2018 01H EDT,28904,28850
09/17/2018 00H EDT,30763,30553
09/16/2018 23H EDT,31637,31060
09/16/2018 22H EDT,31266,30818
09/16/2018 21H EDT,30844,30703
09/16/2018 20H EDT,29683,29726
09/16/2018 19H EDT,28396,28418
09/16/2018 18H EDT,27008,26784
09/16/2018 17H EDT,25776,25289
09/16/2018 16H EDT,24498,24051
09/16/2018 15H EDT,23630,23155
09/16/2018 14H EDT,23031,22638
09/16/2018 13H EDT,22588,22359
09/16/2018 12H EDT,22300,21995
09/16/2018 11H EDT,21847,21755
09/16/2018 10H EDT,21714,21841
09/16/2018 09H EDT,21444,21529
09/16/2018 08H EDT,21297,21310
09/16/2018 07H EDT,21208,21481
09/16/2018 06H EDT,21675,21871
09/16/2018 05H EDT,22505,22720
09/16/2018 04H EDT,23737,23788
09/16/2018 03H EDT,25108,25032
09/16/2018 02H EDT,27024,27001
09/16/2018 01H EDT,28801,28859
09/16/2018 00H EDT,30206,30410
09/15/2018 23H EDT,31038,30968
09/15/2018 22H EDT,31632,30811
09/15/2018 21H EDT,31151,31063
09/15/2018 20H EDT,30245,30503
09/15/2018 19H EDT,29313,29516
09/15/2018 18H EDT,28061,28153
09/15/2018 17H EDT,26951,26946
09/15/2018 16H EDT,25924,25953
09/15/2018 15H EDT,25325,25212
09/15/2018 14H EDT,25087,24686
09/15/2018 13H EDT,24872,24340
09/15/2018 12H EDT,24447,23845
09/15/2018 11H EDT,23586,23151
09/15/2018 10H EDT,23075,22830
09/15/2018 09H EDT,22420,22159
09/15/2018 08H EDT,22011,21710
09/15/2018 07H EDT,22170,21763
09/15/2018 06H EDT,22624,22268
09/15/2018 05H EDT,23617,23148
09/15/2018 04H EDT,24846,24404
09/15/2018 03H EDT,26421,26698
09/15/2018 02H EDT,28694,28950
09/15/2018 01H EDT,30908,31139
09/15/2018 00H EDT,32748,32915
09/14/2018 23H EDT,33837,33468
09/14/2018 22H EDT,34204,34045
09/14/2018 21H EDT,34938,34676
09/14/2018 20H EDT,34517,34250
09/14/2018 19H EDT,33469,33245
09/14/2018 18H EDT,31867,32079
09/14/2018 17H EDT,30389,30822
09/14/2018 16H EDT,28895,29576
09/14/2018 15H EDT,28017,28465
09/14/2018 14H EDT,27324,27878
09/14/2018 13H EDT,26677,27408
09/14/2018 12H EDT,26232,26963
09/14/2018 11H EDT,26006,26644
09/14/2018 10H EDT,25198,25575
09/14/2018 09H EDT,23357,23526
