Balancing authority hourly actual and forecast demand 09 per 10 per 2018 – 09 per 17 per 2018 EDT
https://www.eia.gov/realtime_grid/?src=data#/data/graphs?end=20180917T00&start=20180910T00&bas=000002&regions=0
19:29:52 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
09/14/2018 08H EDT,22429,22293
09/14/2018 07H EDT,22172,21971
09/14/2018 06H EDT,22571,22310
09/14/2018 05H EDT,23232,23103
09/14/2018 04H EDT,24189,24332
09/14/2018 03H EDT,25760,25802
09/14/2018 02H EDT,28092,28174
09/14/2018 01H EDT,30735,30792
09/14/2018 00H EDT,32908,32751
09/13/2018 23H EDT,33651,33425
09/13/2018 22H EDT,33652,33422
09/13/2018 21H EDT,33826,33791
09/13/2018 20H EDT,33237,33402
09/13/2018 19H EDT,32322,32325
09/13/2018 18H EDT,30890,30904
09/13/2018 17H EDT,29563,29701
09/13/2018 16H EDT,28306,28521
09/13/2018 15H EDT,27699,27948
09/13/2018 14H EDT,27148,27554
09/13/2018 13H EDT,26767,27378
09/13/2018 12H EDT,26535,27097
09/13/2018 11H EDT,26459,26728
09/13/2018 10H EDT,25510,25553
09/13/2018 09H EDT,23495,23442
09/13/2018 08H EDT,22287,22158
09/13/2018 07H EDT,21992,21846
09/13/2018 06H EDT,22311,22198
09/13/2018 05H EDT,23063,22993
09/13/2018 04H EDT,24193,24204
09/13/2018 03H EDT,25671,25642
09/13/2018 02H EDT,27999,28091
09/13/2018 01H EDT,30355,30776
09/13/2018 00H EDT,32446,32791
09/12/2018 23H EDT,33247,33411
09/12/2018 22H EDT,33145,33138
09/12/2018 21H EDT,33444,33503
09/12/2018 20H EDT,33051,33110
09/12/2018 19H EDT,32079,32086
09/12/2018 18H EDT,31221,30951
09/12/2018 17H EDT,29617,29914
09/12/2018 16H EDT,28429,28865
09/12/2018 15H EDT,27743,28265
09/12/2018 14H EDT,27538,27972
09/12/2018 13H EDT,27415,27717
09/12/2018 12H EDT,27208,27393
09/12/2018 11H EDT,26972,26908
09/12/2018 10H EDT,26040,25561
09/12/2018 09H EDT,23984,23515
09/12/2018 08H EDT,22716,22196
09/12/2018 07H EDT,22421,21819
09/12/2018 06H EDT,22760,22112
09/12/2018 05H EDT,23561,22846
09/12/2018 04H EDT,24755,24042
09/12/2018 03H EDT,26368,26526
09/12/2018 02H EDT,28834,29109
09/12/2018 01H EDT,31486,31946
09/12/2018 00H EDT,33643,34205
09/11/2018 23H EDT,34654,35108
09/11/2018 22H EDT,34946,35226
09/11/2018 21H EDT,35383,35644
09/11/2018 20H EDT,34766,35290
09/11/2018 19H EDT,33647,34086
09/11/2018 18H EDT,32130,32818
09/11/2018 17H EDT,30806,31393
09/11/2018 16H EDT,29441,30046
09/11/2018 15H EDT,28522,29267
09/11/2018 14H EDT,27859,28694
09/11/2018 13H EDT,27663,28244
09/11/2018 12H EDT,27419,27833
09/11/2018 11H EDT,26961,27158
09/11/2018 10H EDT,26047,25996
09/11/2018 09H EDT,23943,23933
09/11/2018 08H EDT,22676,22649
09/11/2018 07H EDT,22491,22288
09/11/2018 06H EDT,22948,22632
09/11/2018 05H EDT,23746,23465
09/11/2018 04H EDT,24976,24719
09/11/2018 03H EDT,26728,27085
09/11/2018 02H EDT,29336,29702
09/11/2018 01H EDT,32378,32866
09/11/2018 00H EDT,34727,35316
09/10/2018 23H EDT,36060,36560
09/10/2018 22H EDT,36921,36476
09/10/2018 21H EDT,37511,37025
09/10/2018 20H EDT,36933,36941
09/10/2018 19H EDT,35727,36176
09/10/2018 18H EDT,34041,34926
09/10/2018 17H EDT,32333,33646
09/10/2018 16H EDT,30776,32057
09/10/2018 15H EDT,29795,30988
09/10/2018 14H EDT,29550,30115
09/10/2018 13H EDT,28871,29250
09/10/2018 12H EDT,28028,28527
09/10/2018 11H EDT,27129,27638
09/10/2018 10H EDT,25914,26508
09/10/2018 09H EDT,23903,24391
09/10/2018 08H EDT,22704,23035
09/10/2018 07H EDT,22303,22618
09/10/2018 06H EDT,22618,22950
09/10/2018 05H EDT,23378,23720
09/10/2018 04H EDT,24676,24960
09/10/2018 03H EDT,26401,27059
09/10/2018 02H EDT,28809,29568
09/10/2018 01H EDT,31404,32680
09/10/2018 00H EDT,33785,34969
