Balancing authority hourly actual and forecast demand 12 per 23 per 2018 – 12 per 30 per 2018 EST
https://www.eia.gov/realtime_grid/#/data/graphs?end=20181230T00&start=20181223T00&bas=000002&regions=0
14:06:46 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
12/31/2018 00H EST,25976,27014
12/30/2018 23H EST,26436,27706
12/30/2018 22H EST,26634,27823
12/30/2018 21H EST,26063,27055
12/30/2018 20H EST,22938,23488
12/30/2018 19H EST,21014,21558
12/30/2018 18H EST,20313,20620
12/30/2018 17H EST,19891,20192
12/30/2018 16H EST,19760,20061
12/30/2018 15H EST,19998,20425
12/30/2018 14H EST,20512,21056
12/30/2018 13H EST,21436,21566
12/30/2018 12H EST,22170,22089
12/30/2018 11H EST,22463,22134
12/30/2018 10H EST,22135,21950
12/30/2018 09H EST,21345,21069
12/30/2018 08H EST,20854,20616
12/30/2018 07H EST,20709,20483
12/30/2018 06H EST,20905,20706
12/30/2018 05H EST,21380,21290
12/30/2018 04H EST,22197,22039
12/30/2018 03H EST,23103,22949
12/30/2018 02H EST,24427,24410
12/30/2018 01H EST,25760,25773
12/30/2018 00H EST,26601,26577
12/29/2018 23H EST,27034,27023
12/29/2018 22H EST,27234,27192
12/29/2018 21H EST,26703,26575
12/29/2018 20H EST,23682,23441
12/29/2018 19H EST,21609,21770
12/29/2018 18H EST,20718,20927
12/29/2018 17H EST,20361,20552
12/29/2018 16H EST,20063,20728
12/29/2018 15H EST,20533,21063
12/29/2018 14H EST,21309,21502
12/29/2018 13H EST,22168,22256
12/29/2018 12H EST,22992,23002
12/29/2018 11H EST,23266,23163
12/29/2018 10H EST,23274,22985
12/29/2018 09H EST,22266,21828
12/29/2018 08H EST,21549,21145
12/29/2018 07H EST,21344,20964
12/29/2018 06H EST,21546,21191
12/29/2018 05H EST,22019,21700
12/29/2018 04H EST,22750,22514
12/29/2018 03H EST,23608,23164
12/29/2018 02H EST,25192,24777
12/29/2018 01H EST,26799,26364
12/29/2018 00H EST,27837,27224
12/28/2018 23H EST,28410,27898
12/28/2018 22H EST,28772,28334
12/28/2018 21H EST,28375,27880
12/28/2018 20H EST,25372,24747
12/28/2018 19H EST,23505,23161
12/28/2018 18H EST,22409,22410
12/28/2018 17H EST,21960,22219
12/28/2018 16H EST,21901,22400
12/28/2018 15H EST,22454,22960
12/28/2018 14H EST,23228,23591
12/28/2018 13H EST,24130,24050
12/28/2018 12H EST,25015,24598
12/28/2018 11H EST,25252,24589
12/28/2018 10H EST,24766,23900
12/28/2018 09H EST,22885,21992
12/28/2018 08H EST,21555,20672
12/28/2018 07H EST,20995,20158
12/28/2018 06H EST,21094,20210
12/28/2018 05H EST,21407,20575
12/28/2018 04H EST,21908,21282
12/28/2018 03H EST,22826,22596
12/28/2018 02H EST,24739,24308
12/28/2018 01H EST,26403,26026
12/28/2018 00H EST,27538,27279
12/27/2018 23H EST,28254,27982
12/27/2018 22H EST,28673,28274
12/27/2018 21H EST,28270,27576
12/27/2018 20H EST,25452,24352
12/27/2018 19H EST,23640,22775
12/27/2018 18H EST,22768,22295
12/27/2018 17H EST,22437,22244
12/27/2018 16H EST,22413,22362
12/27/2018 15H EST,22880,22913
12/27/2018 14H EST,23493,23598
12/27/2018 13H EST,24124,24159
12/27/2018 12H EST,24763,24740
12/27/2018 11H EST,24586,24738
12/27/2018 10H EST,23685,23773
12/27/2018 09H EST,21856,21829
12/27/2018 08H EST,20500,20445
12/27/2018 07H EST,19926,19884
12/27/2018 06H EST,20055,19958
12/27/2018 05H EST,20510,20403
12/27/2018 04H EST,21193,21228
12/27/2018 03H EST,22416,22253
12/27/2018 02H EST,24189,23984
12/27/2018 01H EST,26036,25661
12/27/2018 00H EST,26924,26853
12/26/2018 23H EST,27601,27611
12/26/2018 22H EST,28096,27874
12/26/2018 21H EST,27796,27097
12/26/2018 20H EST,24883,23857
12/26/2018 19H EST,23269,22414
12/26/2018 18H EST,22603,21902
12/26/2018 17H EST,22290,21613
12/26/2018 16H EST,22324,21595
12/26/2018 15H EST,22775,22097
12/26/2018 14H EST,23298,22752
12/26/2018 13H EST,23533,23325
12/26/2018 12H EST,23977,24051
12/26/2018 11H EST,23888,24311
12/26/2018 10H EST,22874,23481
12/26/2018 09H EST,20942,21436
12/26/2018 08H EST,19537,20044
12/26/2018 07H EST,18914,19483
12/26/2018 06H EST,18854,19524
12/26/2018 05H EST,19177,19923
12/26/2018 04H EST,19916,20628
12/26/2018 03H EST,20883,21291
12/26/2018 02H EST,22204,22591
12/26/2018 01H EST,23371,23834
12/26/2018 00H EST,23982,24548
12/25/2018 23H EST,24143,24886
12/25/2018 22H EST,24314,24960
12/25/2018 21H EST,24127,24329
12/25/2018 20H EST,21635,21667
12/25/2018 19H EST,19912,20082
12/25/2018 18H EST,19038,19442
12/25/2018 17H EST,18691,19205
12/25/2018 16H EST,18828,19106
12/25/2018 15H EST,19173,19473
12/25/2018 14H EST,19803,20002
12/25/2018 13H EST,20309,20594
12/25/2018 12H EST,20513,20890
12/25/2018 11H EST,20589,20651
12/25/2018 10H EST,20091,20290
12/25/2018 09H EST,19301,19309
12/25/2018 08H EST,18812,18675
12/25/2018 07H EST,18817,18573
12/25/2018 06H EST,19260,18934
12/25/2018 05H EST,19773,19476
12/25/2018 04H EST,20593,20394
