Balancing authority hourly actual and forecast demand 11 per 05 per 2018 – 11 per 12 per 2018 EST
https://www.eia.gov/realtime_grid/?src=data#/data/graphs?end=20181112T00&start=20181105T00&bas=000002&regions=0
19:31:17 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
11/13/2018 00H EDT,27046,27280
11/12/2018 23H EDT,27981,28412
11/12/2018 22H EDT,28651,29021
11/12/2018 21H EDT,28835,28708
11/12/2018 20H EDT,26869,26650
11/12/2018 19H EDT,25782,25547
11/12/2018 18H EDT,24908,24923
11/12/2018 17H EDT,24315,24451
11/12/2018 16H EDT,23952,24040
11/12/2018 15H EDT,23764,23949
11/12/2018 14H EDT,23899,24038
11/12/2018 13H EDT,24139,24214
11/12/2018 12H EDT,24335,24418
11/12/2018 11H EDT,24056,24455
11/12/2018 10H EDT,23266,23513
11/12/2018 09H EDT,21539,21674
11/12/2018 08H EDT,20255,20217
11/12/2018 07H EDT,19778,19548
11/12/2018 06H EDT,19707,19635
11/12/2018 05H EDT,19989,19964
11/12/2018 04H EDT,20568,20634
11/12/2018 03H EDT,21416,21008
11/12/2018 02H EDT,22449,22379
11/12/2018 01H EDT,23794,23912
11/12/2018 00H EDT,24773,25026
11/11/2018 23H EDT,25444,25939
11/11/2018 22H EDT,25950,26452
11/11/2018 21H EDT,25805,26095
11/11/2018 20H EDT,23494,23371
11/11/2018 19H EDT,22060,21707
11/11/2018 18H EDT,21095,20757
11/11/2018 17H EDT,20424,20220
11/11/2018 16H EDT,19992,19726
11/11/2018 15H EDT,19978,19598
11/11/2018 14H EDT,20158,19702
11/11/2018 13H EDT,20581,19794
11/11/2018 12H EDT,21188,19897
11/11/2018 11H EDT,20903,19482
11/11/2018 10H EDT,20830,20143
11/11/2018 09H EDT,20310,19681
11/11/2018 08H EDT,19912,19216
11/11/2018 07H EDT,19824,19068
11/11/2018 06H EDT,20031,19236
11/11/2018 05H EDT,20493,19725
11/11/2018 04H EDT,20922,20532
11/11/2018 03H EDT,21604,21424
11/11/2018 02H EDT,22732,22851
11/11/2018 01H EDT,24057,24061
11/11/2018 00H EDT,24916,25034
11/10/2018 23H EDT,25581,25710
11/10/2018 22H EDT,26138,26257
11/10/2018 21H EDT,26186,26123
11/10/2018 20H EDT,24434,23913
11/10/2018 19H EDT,23138,22574
11/10/2018 18H EDT,22361,21567
11/10/2018 17H EDT,21915,21006
11/10/2018 16H EDT,21779,20664
11/10/2018 15H EDT,21842,20633
11/10/2018 14H EDT,21989,20782
11/10/2018 13H EDT,22338,20899
11/10/2018 12H EDT,22546,20992
11/10/2018 11H EDT,22319,20955
11/10/2018 10H EDT,21940,20840
11/10/2018 09H EDT,21218,20095
11/10/2018 08H EDT,20534,19528
11/10/2018 07H EDT,20346,19362
11/10/2018 06H EDT,20570,19539
11/10/2018 05H EDT,20757,20083
11/10/2018 04H EDT,21462,20981
11/10/2018 03H EDT,22326,22098
11/10/2018 02H EDT,23749,23640
11/10/2018 01H EDT,25257,25156
11/10/2018 00H EDT,26239,26452
11/9/2018 23H EDT,27087,27452
11/9/2018 22H EDT,27979,28321
11/9/2018 21H EDT,28361,28582
11/9/2018 20H EDT,26972,26808
11/9/2018 19H EDT,26098,26070
11/9/2018 18H EDT,25365,25358
11/9/2018 17H EDT,24750,24585
11/9/2018 16H EDT,24102,23897
11/9/2018 15H EDT,23945,23755
11/9/2018 14H EDT,23862,23850
11/9/2018 13H EDT,23994,24190
11/9/2018 12H EDT,24113,24398
11/9/2018 11H EDT,24129,24594
11/9/2018 10H EDT,23438,23570
11/9/2018 09H EDT,21741,21411
11/9/2018 08H EDT,20565,19941
11/9/2018 07H EDT,20055,19397
11/9/2018 06H EDT,20139,19697
11/9/2018 05H EDT,20574,20213
11/9/2018 04H EDT,21003,20980
11/9/2018 03H EDT,22026,21797
11/9/2018 02H EDT,23600,23466
11/9/2018 01H EDT,25345,25370
11/9/2018 00H EDT,26824,26921
11/8/2018 23H EDT,27853,27979
11/8/2018 22H EDT,28632,28762
11/8/2018 21H EDT,28866,28872
11/8/2018 20H EDT,27211,27274
11/8/2018 19H EDT,26089,26522
11/8/2018 18H EDT,25221,25645
11/8/2018 17H EDT,24561,24849
11/8/2018 16H EDT,23955,24127
11/8/2018 15H EDT,,23849
11/8/2018 14H EDT,23584,23701
11/8/2018 13H EDT,23834,23724
11/8/2018 12H EDT,24317,23885
11/8/2018 11H EDT,24635,24056
11/8/2018 10H EDT,23685,23315
11/8/2018 09H EDT,21803,21562
11/8/2018 08H EDT,20430,20102
11/8/2018 07H EDT,19893,19504
11/8/2018 06H EDT,20137,19572
11/8/2018 05H EDT,20307,20049
11/8/2018 04H EDT,20968,20778
11/8/2018 03H EDT,21968,21827
11/8/2018 02H EDT,23646,23545
11/8/2018 01H EDT,25560,25485
11/8/2018 00H EDT,27087,27070
11/7/2018 23H EDT,28112,28305
11/7/2018 22H EDT,28932,29175
11/7/2018 21H EDT,29109,29284
11/7/2018 20H EDT,27495,27253
11/7/2018 19H EDT,26623,26320
11/7/2018 18H EDT,25851,25611
11/7/2018 17H EDT,25117,25043
11/7/2018 16H EDT,24468,24444
11/7/2018 15H EDT,24310,24228
11/7/2018 14H EDT,24427,24197
11/7/2018 13H EDT,24581,24252
11/7/2018 12H EDT,24758,24363
11/7/2018 11H EDT,24841,24518
11/7/2018 10H EDT,23766,23360
11/7/2018 09H EDT,21694,21179
11/7/2018 08H EDT,20484,19654
11/7/2018 07H EDT,19985,19161
11/7/2018 06H EDT,20078,19240
11/7/2018 05H EDT,20336,19810
11/7/2018 04H EDT,20784,20611
11/7/2018 03H EDT,21774,22225
11/7/2018 02H EDT,23373,23909
11/7/2018 01H EDT,25300,25933
11/7/2018 00H EDT,26896,27505
11/6/2018 23H EDT,27983,28750
11/6/2018 22H EDT,28815,29599
11/6/2018 21H EDT,29080,29719
11/6/2018 20H EDT,27669,27684
11/6/2018 19H EDT,26730,26558
11/6/2018 18H EDT,25887,25766
11/6/2018 17H EDT,25107,25184
11/6/2018 16H EDT,24394,24702
11/6/2018 15H EDT,24143,24685
11/6/2018 14H EDT,23877,24795
11/6/2018 13H EDT,23845,25054
11/6/2018 12H EDT,24135,25312
11/6/2018 11H EDT,24459,25326
11/6/2018 10H EDT,23790,23724
11/6/2018 09H EDT,21685,21739
11/6/2018 08H EDT,20468,20310
11/6/2018 07H EDT,19930,19761
11/6/2018 06H EDT,19983,19868
11/6/2018 05H EDT,20527,20329
11/6/2018 04H EDT,21258,21158
11/6/2018 03H EDT,22277,22148
11/6/2018 02H EDT,23680,23873
11/6/2018 01H EDT,25551,25897
11/6/2018 00H EDT,27147,27636
11/5/2018 23H EDT,28247,29009
11/5/2018 22H EDT,29218,30062
11/5/2018 21H EDT,29395,30287
11/5/2018 20H EDT,28155,28299
11/5/2018 19H EDT,27396,27203
11/5/2018 18H EDT,26817,26475
11/5/2018 17H EDT,26095,25848
11/5/2018 16H EDT,25292,25334
11/5/2018 15H EDT,24951,25144
11/5/2018 14H EDT,24641,25143
11/5/2018 13H EDT,24439,25085
11/5/2018 12H EDT,24337,25025
11/5/2018 11H EDT,24368,24758
11/5/2018 10H EDT,23507,23495
11/5/2018 09H EDT,21583,21447
11/5/2018 08H EDT,20185,19922
11/5/2018 07H EDT,19594,19313
11/5/2018 06H EDT,19605,19362
11/5/2018 05H EDT,19872,19765
11/5/2018 04H EDT,20471,20454
11/5/2018 03H EDT,,
11/5/2018 02H EDT,,
11/5/2018 01H EDT,,
11/5/2018 00H EDT,,
