Balancing authority hourly actual and forecast demand 01 per 19 per 2019 – 01 per 26 per 2019 EST
https://www.eia.gov/realtime_grid/#/data/graphs?end=20190126T00&start=20190119T00&bas=000002&regions=0
14:04:14 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
01/27/2019 00H EST,23576,24623
01/26/2019 23H EST,24193,25352
01/26/2019 22H EST,24414,25747
01/26/2019 21H EST,23573,24679
01/26/2019 20H EST,21460,22344
01/26/2019 19H EST,19470,20968
01/26/2019 18H EST,17919,20046
01/26/2019 17H EST,17612,19612
01/26/2019 16H EST,17414,19504
01/26/2019 15H EST,17548,19768
01/26/2019 14H EST,18166,20229
01/26/2019 13H EST,18453,20770
01/26/2019 12H EST,19246,21371
01/26/2019 11H EST,20309,21471
01/26/2019 10H EST,20294,21036
01/26/2019 09H EST,19472,19953
01/26/2019 08H EST,18901,19260
01/26/2019 07H EST,18656,19106
01/26/2019 06H EST,18878,19338
01/26/2019 05H EST,19440,19881
01/26/2019 04H EST,20127,20722
01/26/2019 03H EST,21330,21866
01/26/2019 02H EST,22470,23375
01/26/2019 01H EST,24198,24794
01/26/2019 00H EST,25488,25869
01/25/2019 23H EST,25970,26623
01/25/2019 22H EST,26504,27018
01/25/2019 21H EST,25922,26048
01/25/2019 20H EST,23765,24065
01/25/2019 19H EST,22090,22915
01/25/2019 18H EST,21224,22338
01/25/2019 17H EST,20705,22022
01/25/2019 16H EST,20489,21917
01/25/2019 15H EST,20745,22266
01/25/2019 14H EST,21354,22892
01/25/2019 13H EST,22365,23744
01/25/2019 12H EST,23581,24977
01/25/2019 11H EST,24652,25652
01/25/2019 10H EST,24357,24465
01/25/2019 09H EST,21765,21922
01/25/2019 08H EST,20417,20344
01/25/2019 07H EST,19593,19721
01/25/2019 06H EST,19534,19782
01/25/2019 05H EST,20022,20210
01/25/2019 04H EST,20707,20965
01/25/2019 03H EST,21640,22046
01/25/2019 02H EST,23047,23640
01/25/2019 01H EST,24612,25552
01/25/2019 00H EST,25941,26872
01/24/2019 23H EST,26526,27622
01/24/2019 22H EST,26917,28106
01/24/2019 21H EST,26186,27350
01/24/2019 20H EST,23960,24967
01/24/2019 19H EST,21979,23639
01/24/2019 18H EST,20681,22967
01/24/2019 17H EST,20480,22541
01/24/2019 16H EST,20270,22322
01/24/2019 15H EST,20428,22493
01/24/2019 14H EST,20972,23146
01/24/2019 13H EST,21980,24099
01/24/2019 12H EST,23475,25285
01/24/2019 11H EST,24951,26151
01/24/2019 10H EST,24651,24902
01/24/2019 09H EST,22143,22133
01/24/2019 08H EST,20487,20496
01/24/2019 07H EST,19796,19823
01/24/2019 06H EST,19796,19794
01/24/2019 05H EST,20394,20203
01/24/2019 04H EST,21037,20921
01/24/2019 03H EST,21753,22173
01/24/2019 02H EST,23136,23912
01/24/2019 01H EST,24932,25763
01/24/2019 00H EST,26225,27043
01/23/2019 23H EST,26610,27852
01/23/2019 22H EST,26782,28155
01/23/2019 21H EST,26088,27133
01/23/2019 20H EST,23827,24689
01/23/2019 19H EST,21541,23250
01/23/2019 18H EST,20365,22383
01/23/2019 17H EST,20189,21906
01/23/2019 16H EST,20255,21891
01/23/2019 15H EST,20589,22339
01/23/2019 14H EST,21001,23230
01/23/2019 13H EST,21965,24136
01/23/2019 12H EST,23797,25251
01/23/2019 11H EST,25854,26139
01/23/2019 10H EST,25147,25155
01/23/2019 09H EST,22509,22434
01/23/2019 08H EST,21103,20650
01/23/2019 07H EST,20579,19951
01/23/2019 06H EST,20590,19970
01/23/2019 05H EST,20743,20344
01/23/2019 04H EST,21441,21067
01/23/2019 03H EST,21882,22279
01/23/2019 02H EST,23507,24008
01/23/2019 01H EST,25660,25931
01/23/2019 00H EST,27075,27320
01/22/2019 23H EST,27688,28086
01/22/2019 22H EST,28281,28367
01/22/2019 21H EST,26751,27034
01/22/2019 20H EST,23868,24241
01/22/2019 19H EST,22262,22927
01/22/2019 18H EST,21266,22283
01/22/2019 17H EST,20656,22050
01/22/2019 16H EST,20391,22023
01/22/2019 15H EST,20523,22418
01/22/2019 14H EST,21380,23289
01/22/2019 13H EST,22339,24273
01/22/2019 12H EST,23775,25277
01/22/2019 11H EST,25729,25964
01/22/2019 10H EST,25096,24810
01/22/2019 09H EST,22188,21977
01/22/2019 08H EST,20520,20239
01/22/2019 07H EST,19699,19584
01/22/2019 06H EST,19632,19586
01/22/2019 05H EST,19900,19955
01/22/2019 04H EST,20279,20665
01/22/2019 03H EST,20777,21778
01/22/2019 02H EST,22124,23503
01/22/2019 01H EST,23484,25443
01/22/2019 00H EST,24779,26876
01/21/2019 23H EST,25455,27729
01/21/2019 22H EST,26143,28097
01/21/2019 21H EST,25358,26920
01/21/2019 20H EST,22921,24053
01/21/2019 19H EST,20854,22859
01/21/2019 18H EST,20008,22441
01/21/2019 17H EST,19400,22398
01/21/2019 16H EST,19155,22470
01/21/2019 15H EST,19174,22670
01/21/2019 14H EST,19807,23177
01/21/2019 13H EST,20780,23515
01/21/2019 12H EST,21358,23757
01/21/2019 11H EST,21772,23349
01/21/2019 10H EST,21222,22333
01/21/2019 09H EST,19507,20301
01/21/2019 08H EST,18171,18936
01/21/2019 07H EST,17097,18393
01/21/2019 06H EST,16999,18472
01/21/2019 05H EST,17422,18846
01/21/2019 04H EST,17941,19507
01/21/2019 03H EST,19198,20429
01/21/2019 02H EST,20878,21916
01/21/2019 01H EST,22339,23492
