Balancing authority hourly actual and forecast demand 01 per 05 per 2019 – 01 per 12 per 2019 EST
https://www.eia.gov/realtime_grid/#/data/graphs?end=20190112T00&start=20190105T00&bas=000002&regions=0
14:05:44 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
01/13/2019 00H EST,24559,24872
01/12/2019 23H EST,25078,25567
01/12/2019 22H EST,25474,25913
01/12/2019 21H EST,25045,25340
01/12/2019 20H EST,22699,23081
01/12/2019 19H EST,21287,21937
01/12/2019 18H EST,20807,21427
01/12/2019 17H EST,20907,21321
01/12/2019 16H EST,21319,21315
01/12/2019 15H EST,21723,21542
01/12/2019 14H EST,22333,21964
01/12/2019 13H EST,22806,22214
01/12/2019 12H EST,22687,22233
01/12/2019 11H EST,21961,21888
01/12/2019 10H EST,21443,21327
01/12/2019 09H EST,20513,20166
01/12/2019 08H EST,19900,19533
01/12/2019 07H EST,19749,19426
01/12/2019 06H EST,20008,19714
01/12/2019 05H EST,20562,20285
01/12/2019 04H EST,21252,21151
01/12/2019 03H EST,22354,22228
01/12/2019 02H EST,23739,23647
01/12/2019 01H EST,25006,25034
01/12/2019 00H EST,25710,26172
01/11/2019 23H EST,26166,27064
01/11/2019 22H EST,26798,27702
01/11/2019 21H EST,26753,27154
01/11/2019 20H EST,24924,24944
01/11/2019 19H EST,23987,24021
01/11/2019 18H EST,24273,23734
01/11/2019 17H EST,23977,23451
01/11/2019 16H EST,24081,23502
01/11/2019 15H EST,24475,23921
01/11/2019 14H EST,25257,24553
01/11/2019 13H EST,25687,25076
01/11/2019 12H EST,25681,25523
01/11/2019 11H EST,25577,25646
01/11/2019 10H EST,24407,24236
01/11/2019 09H EST,22127,21825
01/11/2019 08H EST,20661,20342
01/11/2019 07H EST,20059,19764
01/11/2019 06H EST,20128,19834
01/11/2019 05H EST,20610,20291
01/11/2019 04H EST,21295,20984
01/11/2019 03H EST,22399,22111
01/11/2019 02H EST,24029,23850
01/11/2019 01H EST,25428,25594
01/11/2019 00H EST,26476,26780
01/10/2019 23H EST,26878,27600
01/10/2019 22H EST,27248,28068
01/10/2019 21H EST,26684,27418
01/10/2019 20H EST,24363,24906
01/10/2019 19H EST,24048,23996
01/10/2019 18H EST,23527,23570
01/10/2019 17H EST,23329,23387
01/10/2019 16H EST,23322,23417
01/10/2019 15H EST,22855,23792
01/10/2019 14H EST,21679,24307
01/10/2019 13H EST,22010,24786
01/10/2019 12H EST,21460,25314
01/10/2019 11H EST,20521,25600
01/10/2019 10H EST,20273,24252
01/10/2019 09H EST,20083,21670
01/10/2019 08H EST,20058,20097
01/10/2019 07H EST,20055,19513
01/10/2019 06H EST,20175,19581
01/10/2019 05H EST,20617,20046
01/10/2019 04H EST,21246,20808
01/10/2019 03H EST,22392,22161
01/10/2019 02H EST,24015,23921
01/10/2019 01H EST,25425,25711
01/10/2019 00H EST,26499,27182
01/9/2019 23H EST,27222,28098
01/9/2019 22H EST,27679,28799
01/9/2019 21H EST,27212,28267
01/9/2019 20H EST,25189,25930
01/9/2019 19H EST,24669,24948
01/9/2019 18H EST,24453,24542
01/9/2019 17H EST,24159,24456
01/9/2019 16H EST,23860,24493
01/9/2019 15H EST,23909,24656
01/9/2019 14H EST,24353,25011
01/9/2019 13H EST,24664,25360
01/9/2019 12H EST,24845,25639
01/9/2019 11H EST,25123,25732
01/9/2019 10H EST,23774,24129
01/9/2019 09H EST,21792,21528
01/9/2019 08H EST,20630,20025
01/9/2019 07H EST,20079,19477
01/9/2019 06H EST,20165,19607
01/9/2019 05H EST,20634,20092
01/9/2019 04H EST,21276,20884
01/9/2019 03H EST,21964,22352
01/9/2019 02H EST,23443,24200
01/9/2019 01H EST,25147,26087
01/9/2019 00H EST,26371,27578
01/8/2019 23H EST,27146,28496
01/8/2019 22H EST,27617,29047
01/8/2019 21H EST,27348,28454
01/8/2019 20H EST,25531,26366
01/8/2019 19H EST,24772,25484
01/8/2019 18H EST,24360,25084
01/8/2019 17H EST,24353,25070
01/8/2019 16H EST,24492,25085
01/8/2019 15H EST,24631,25176
01/8/2019 14H EST,24918,25380
01/8/2019 13H EST,22071,25676
01/8/2019 12H EST,20720,25770
01/8/2019 11H EST,19753,25824
01/8/2019 10H EST,18586,24193
01/8/2019 09H EST,17518,21588
01/8/2019 08H EST,16805,20099
01/8/2019 07H EST,17105,19518
01/8/2019 06H EST,19785,19589
01/8/2019 05H EST,19784,20045
01/8/2019 04H EST,19782,20877
01/8/2019 03H EST,19787,22206
01/8/2019 02H EST,19794,23963
01/8/2019 01H EST,19791,25900
01/8/2019 00H EST,19790,27378
01/7/2019 23H EST,19820,28296
01/7/2019 22H EST,19896,28799
01/7/2019 21H EST,19940,28134
01/7/2019 20H EST,19976,25403
01/7/2019 19H EST,20453,24195
01/7/2019 18H EST,20616,23782
01/7/2019 17H EST,20843,23678
01/7/2019 16H EST,21085,23827
01/7/2019 15H EST,21042,24300
01/7/2019 14H EST,24700,24784
01/7/2019 13H EST,25413,25201
01/7/2019 12H EST,25561,25571
01/7/2019 11H EST,25334,25419
01/7/2019 10H EST,23875,23949
01/7/2019 09H EST,21444,21516
01/7/2019 08H EST,20147,19927
01/7/2019 07H EST,19872,19261
01/7/2019 06H EST,19913,19248
01/7/2019 05H EST,19896,19501
01/7/2019 04H EST,20588,20137
01/7/2019 03H EST,22010,21542
01/7/2019 02H EST,23500,23145
01/7/2019 01H EST,24833,24769
01/7/2019 00H EST,26018,26066
01/6/2019 23H EST,26686,26927
01/6/2019 22H EST,26896,27447
01/6/2019 21H EST,26674,26563
01/6/2019 20H EST,24372,23267
01/6/2019 19H EST,23072,21803
01/6/2019 18H EST,22680,21528
01/6/2019 17H EST,22430,21596
01/6/2019 16H EST,22229,21681
01/6/2019 15H EST,21915,21782
01/6/2019 14H EST,21903,21990
01/6/2019 13H EST,21316,22198
01/6/2019 12H EST,21173,21987
01/6/2019 11H EST,20942,21585
01/6/2019 10H EST,20370,20904
01/6/2019 09H EST,19834,19990
01/6/2019 08H EST,19771,19596
01/6/2019 07H EST,19653,19570
01/6/2019 06H EST,20014,19893
01/6/2019 05H EST,20663,20354
01/6/2019 04H EST,21535,21156
01/6/2019 03H EST,22475,21746
01/6/2019 02H EST,23897,23205
01/6/2019 01H EST,25207,24531
01/6/2019 00H EST,26068,25463
01/5/2019 23H EST,26747,26069
01/5/2019 22H EST,27116,26596
01/5/2019 21H EST,27216,26059
01/5/2019 20H EST,25735,23425
01/5/2019 19H EST,25148,22112
01/5/2019 18H EST,25026,21953
01/5/2019 17H EST,24915,22092
01/5/2019 16H EST,25031,22317
01/5/2019 15H EST,25134,22728
01/5/2019 14H EST,25181,23262
01/5/2019 13H EST,25095,23643
01/5/2019 12H EST,24206,23527
01/5/2019 11H EST,23128,22712
01/5/2019 10H EST,22276,22041
01/5/2019 09H EST,21350,20867
01/5/2019 08H EST,20737,20344
01/5/2019 07H EST,20631,20166
