Balancing authority hourly actual and forecast demand 09 per 17 per 2018 – 09 per 24 per 2018 EDT
https://www.eia.gov/realtime_grid/?src=data#/data/graphs?end=20180924T00&start=20180917T00&bas=000002&regions=0
19:30:16 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
09/25/2018 00H EDT,31655,32593
09/24/2018 23H EDT,32848,33985
09/24/2018 22H EDT,32712,33697
09/24/2018 21H EDT,32757,33791
09/24/2018 20H EDT,32220,33544
09/24/2018 19H EDT,31293,32525
09/24/2018 18H EDT,30190,31220
09/24/2018 17H EDT,29383,29940
09/24/2018 16H EDT,28382,28613
09/24/2018 15H EDT,27945,27897
09/24/2018 14H EDT,27477,27414
09/24/2018 13H EDT,27227,27060
09/24/2018 12H EDT,26973,26880
09/24/2018 11H EDT,26574,26320
09/24/2018 10H EDT,25329,25225
09/24/2018 09H EDT,23017,23032
09/24/2018 08H EDT,21567,21676
09/24/2018 07H EDT,21075,21201
09/24/2018 06H EDT,21262,21460
09/24/2018 05H EDT,21860,22083
09/24/2018 04H EDT,22801,22990
09/24/2018 03H EDT,24174,24611
09/24/2018 02H EDT,26295,26502
09/24/2018 01H EDT,28660,28712
09/24/2018 00H EDT,30565,30569
09/23/2018 23H EDT,31684,31673
09/23/2018 22H EDT,31578,31946
09/23/2018 21H EDT,31540,31781
09/23/2018 20H EDT,30614,30999
09/23/2018 19H EDT,29368,29820
09/23/2018 18H EDT,27825,28201
09/23/2018 17H EDT,26226,26929
09/23/2018 16H EDT,24935,25393
09/23/2018 15H EDT,23937,24334
09/23/2018 14H EDT,23260,23478
09/23/2018 13H EDT,22887,22835
09/23/2018 12H EDT,22396,22388
09/23/2018 11H EDT,21776,21975
09/23/2018 10H EDT,21782,21930
09/23/2018 09H EDT,21362,21508
09/23/2018 08H EDT,21177,21327
09/23/2018 07H EDT,21421,21537
09/23/2018 06H EDT,22036,22058
09/23/2018 05H EDT,22910,22955
09/23/2018 04H EDT,24075,24202
09/23/2018 03H EDT,25671,25809
09/23/2018 02H EDT,27703,27892
09/23/2018 01H EDT,29650,29971
09/23/2018 00H EDT,31387,31777
09/22/2018 23H EDT,32563,33031
09/22/2018 22H EDT,32818,32924
09/22/2018 21H EDT,33266,33054
09/22/2018 20H EDT,32705,32403
09/22/2018 19H EDT,31523,31285
09/22/2018 18H EDT,29984,29777
09/22/2018 17H EDT,28360,28422
09/22/2018 16H EDT,26817,27205
09/22/2018 15H EDT,25674,26075
09/22/2018 14H EDT,24930,25150
09/22/2018 13H EDT,24469,24552
09/22/2018 12H EDT,23979,24165
09/22/2018 11H EDT,23455,23484
09/22/2018 10H EDT,23117,23154
09/22/2018 09H EDT,22320,22519
09/22/2018 08H EDT,21895,22077
09/22/2018 07H EDT,21980,22148
09/22/2018 06H EDT,22531,22656
09/22/2018 05H EDT,23451,23570
09/22/2018 04H EDT,24777,24849
09/22/2018 03H EDT,26317,26556
09/22/2018 02H EDT,28466,28847
09/22/2018 01H EDT,30805,31302
09/22/2018 00H EDT,32689,33172
09/21/2018 23H EDT,34019,34173
09/21/2018 22H EDT,34319,34512
09/21/2018 21H EDT,35005,35194
09/21/2018 20H EDT,34639,35048
09/21/2018 19H EDT,33483,34182
09/21/2018 18H EDT,32098,32853
09/21/2018 17H EDT,30843,31442
09/21/2018 16H EDT,29531,29969
09/21/2018 15H EDT,28772,29082
09/21/2018 14H EDT,28057,28290
09/21/2018 13H EDT,27450,27677
09/21/2018 12H EDT,26999,27149
09/21/2018 11H EDT,26587,26607
09/21/2018 10H EDT,25659,25471
09/21/2018 09H EDT,23646,23503
09/21/2018 08H EDT,22402,22319
09/21/2018 07H EDT,22126,22021
09/21/2018 06H EDT,22396,22398
09/21/2018 05H EDT,23185,23222
09/21/2018 04H EDT,24277,24455
09/21/2018 03H EDT,25839,25950
09/21/2018 02H EDT,28175,28394
09/21/2018 01H EDT,30707,31317
09/21/2018 00H EDT,32849,33616
09/20/2018 23H EDT,33985,34713
09/20/2018 22H EDT,34024,34685
09/20/2018 21H EDT,34558,35102
09/20/2018 20H EDT,34029,34616
09/20/2018 19H EDT,32776,33415
09/20/2018 18H EDT,31328,31830
09/20/2018 17H EDT,29965,30278
09/20/2018 16H EDT,28761,28976
09/20/2018 15H EDT,28199,28128
09/20/2018 14H EDT,27616,27517
09/20/2018 13H EDT,27208,27033
09/20/2018 12H EDT,26911,26784
09/20/2018 11H EDT,26623,26369
09/20/2018 10H EDT,25559,25309
09/20/2018 09H EDT,23331,23171
09/20/2018 08H EDT,21999,21871
09/20/2018 07H EDT,21606,21529
09/20/2018 06H EDT,21879,21852
09/20/2018 05H EDT,22589,22605
09/20/2018 04H EDT,23707,23746
09/20/2018 03H EDT,25311,25386
09/20/2018 02H EDT,27546,27826
09/20/2018 01H EDT,30056,30464
09/20/2018 00H EDT,32082,32707
09/19/2018 23H EDT,33047,33698
09/19/2018 22H EDT,32818,33359
09/19/2018 21H EDT,32907,33428
09/19/2018 20H EDT,32228,32814
09/19/2018 19H EDT,31136,31775
09/19/2018 18H EDT,30030,30375
09/19/2018 17H EDT,28681,29004
09/19/2018 16H EDT,27478,27860
09/19/2018 15H EDT,26902,27196
09/19/2018 14H EDT,26681,26847
09/19/2018 13H EDT,26248,26532
09/19/2018 12H EDT,26119,26227
09/19/2018 11H EDT,26096,25879
09/19/2018 10H EDT,25234,24924
09/19/2018 09H EDT,23243,22808
09/19/2018 08H EDT,22066,21492
09/19/2018 07H EDT,21969,21096
09/19/2018 06H EDT,22271,21392
09/19/2018 05H EDT,22885,22080
09/19/2018 04H EDT,23758,23061
09/19/2018 03H EDT,25226,25319
09/19/2018 02H EDT,27487,27689
09/19/2018 01H EDT,29986,30468
09/19/2018 00H EDT,31846,32678
09/18/2018 23H EDT,32794,33539
09/18/2018 22H EDT,32501,33241
09/18/2018 21H EDT,32645,33485
09/18/2018 20H EDT,31936,33107
09/18/2018 19H EDT,30827,32114
09/18/2018 18H EDT,29531,30783
09/18/2018 17H EDT,28335,29509
09/18/2018 16H EDT,27287,28331
09/18/2018 15H EDT,26778,27782
09/18/2018 14H EDT,26675,27433
09/18/2018 13H EDT,26971,27207
09/18/2018 12H EDT,26665,26992
09/18/2018 11H EDT,25926,26650
09/18/2018 10H EDT,25055,25360
09/18/2018 09H EDT,23238,23202
09/18/2018 08H EDT,22284,21941
09/18/2018 07H EDT,21898,21605
09/18/2018 06H EDT,22289,21919
09/18/2018 05H EDT,22845,22656
09/18/2018 04H EDT,23665,23817
09/18/2018 03H EDT,25135,26055
09/18/2018 02H EDT,27491,28429
09/18/2018 01H EDT,30038,31074
09/18/2018 00H EDT,32243,32940
09/17/2018 23H EDT,33250,33503
09/17/2018 22H EDT,33255,33610
09/17/2018 21H EDT,33395,33965
09/17/2018 20H EDT,32680,33570
09/17/2018 19H EDT,31793,32574
09/17/2018 18H EDT,30654,31256
09/17/2018 17H EDT,29634,30083
09/17/2018 16H EDT,28555,28914
09/17/2018 15H EDT,27850,28373
09/17/2018 14H EDT,27328,28003
09/17/2018 13H EDT,26942,27788
09/17/2018 12H EDT,26245,27474
09/17/2018 11H EDT,25754,27004
09/17/2018 10H EDT,25060,25853
09/17/2018 09H EDT,22982,23865
09/17/2018 08H EDT,21698,22632
09/17/2018 07H EDT,21118,22330
09/17/2018 06H EDT,21141,22630
09/17/2018 05H EDT,21811,23328
09/17/2018 04H EDT,22888,24545
09/17/2018 03H EDT,24403,24316
09/17/2018 02H EDT,26607,26561
09/17/2018 01H EDT,28904,28850
09/17/2018 00H EDT,30763,30553
