Balancing authority hourly actual and forecast demand 11 per 19 per 2018 – 11 per 26 per 2018 EST
https://www.eia.gov/realtime_grid/?src=data#/data/graphs?end=20181126T00&start=20181119T00&bas=000002&regions=0
19:31:54 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
11/27/2018 00H EDT,27374,27138
11/26/2018 23H EDT,28235,28194
11/26/2018 22H EDT,28936,28736
11/26/2018 21H EDT,29094,28579
11/26/2018 20H EDT,27064,26490
11/26/2018 19H EDT,25682,25506
11/26/2018 18H EDT,24767,25007
11/26/2018 17H EDT,24248,24634
11/26/2018 16H EDT,23804,24279
11/26/2018 15H EDT,23741,24153
11/26/2018 14H EDT,23804,24361
11/26/2018 13H EDT,24032,24658
11/26/2018 12H EDT,24331,24896
11/26/2018 11H EDT,24665,24696
11/26/2018 10H EDT,23765,23640
11/26/2018 09H EDT,21600,21311
11/26/2018 08H EDT,20081,19722
11/26/2018 07H EDT,19592,19029
11/26/2018 06H EDT,19595,18999
11/26/2018 05H EDT,19888,19355
11/26/2018 04H EDT,20279,19959
11/26/2018 03H EDT,21196,21032
11/26/2018 02H EDT,22321,22395
11/26/2018 01H EDT,23961,23922
11/26/2018 00H EDT,25194,25034
11/25/2018 23H EDT,25960,25817
11/25/2018 22H EDT,26391,26105
11/25/2018 21H EDT,26208,25622
11/25/2018 20H EDT,23758,22887
11/25/2018 19H EDT,22011,21375
11/25/2018 18H EDT,20744,20571
11/25/2018 17H EDT,20020,20076
11/25/2018 16H EDT,19778,19839
11/25/2018 15H EDT,19601,19794
11/25/2018 14H EDT,19802,20062
11/25/2018 13H EDT,19706,20348
11/25/2018 12H EDT,19658,20530
11/25/2018 11H EDT,19594,20328
11/25/2018 10H EDT,19560,19985
11/25/2018 09H EDT,19184,19351
11/25/2018 08H EDT,18945,18902
11/25/2018 07H EDT,18921,18765
11/25/2018 06H EDT,19195,18964
11/25/2018 05H EDT,19692,19471
11/25/2018 04H EDT,20491,20320
11/25/2018 03H EDT,21429,21640
11/25/2018 02H EDT,22391,22919
11/25/2018 01H EDT,23586,24091
