Balancing authority hourly actual and forecast demand 07 per 29 per 2018 – 08 per 05 per 2018 EDT
https://www.eia.gov/realtime_grid/#/data/graphs?end=20180805T00&start=20180729T00&bas=000002&regions=0
14:07:42 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
08/6/2018 00H EST,36970,37194
08/5/2018 23H EST,37709,38170
08/5/2018 22H EST,38891,38960
08/5/2018 21H EST,38612,38624
08/5/2018 20H EST,37442,37586
08/5/2018 19H EST,35999,36196
08/5/2018 18H EST,34460,34555
08/5/2018 17H EST,32598,32598
08/5/2018 16H EST,30798,30565
08/5/2018 15H EST,29026,28856
08/5/2018 14H EST,27452,27216
08/5/2018 13H EST,26105,25990
08/5/2018 12H EST,25079,24845
08/5/2018 11H EST,24335,24035
08/5/2018 10H EST,24111,23660
08/5/2018 09H EST,24287,23887
08/5/2018 08H EST,24327,23875
08/5/2018 07H EST,24803,24302
08/5/2018 06H EST,25641,25079
08/5/2018 05H EST,26380,26359
08/5/2018 04H EST,27987,27879
08/5/2018 03H EST,30114,30812
08/5/2018 02H EST,32776,33430
08/5/2018 01H EST,35418,35980
08/5/2018 00H EST,37044,37445
08/4/2018 23H EST,38195,38531
08/4/2018 22H EST,39599,39725
08/4/2018 21H EST,39855,39822
08/4/2018 20H EST,39199,39065
08/4/2018 19H EST,38169,37785
08/4/2018 18H EST,36691,36128
08/4/2018 17H EST,34967,34373
08/4/2018 16H EST,33413,32651
08/4/2018 15H EST,31734,30940
08/4/2018 14H EST,30432,29480
08/4/2018 13H EST,28887,28172
08/4/2018 12H EST,27522,27094
08/4/2018 11H EST,26490,25988
08/4/2018 10H EST,25740,25311
08/4/2018 09H EST,25537,25181
08/4/2018 08H EST,25262,25057
08/4/2018 07H EST,25596,25433
08/4/2018 06H EST,26480,26394
08/4/2018 05H EST,27866,27720
08/4/2018 04H EST,29623,29456
08/4/2018 03H EST,32110,31221
08/4/2018 02H EST,34723,34020
08/4/2018 01H EST,37792,36966
08/4/2018 00H EST,39718,38869
08/3/2018 23H EST,40854,39807
08/3/2018 22H EST,42442,41431
08/3/2018 21H EST,42935,42217
08/3/2018 20H EST,42444,41913
08/3/2018 19H EST,41328,40843
08/3/2018 18H EST,40203,39303
08/3/2018 17H EST,38537,37524
08/3/2018 16H EST,36900,35663
08/3/2018 15H EST,35629,34253
