Balancing authority hourly actual and forecast demand 10 per 14 per 2018 – 10 per 21 per 2018 EDT
https://www.eia.gov/realtime_grid/#/data/graphs?end=20181021T00&start=20181014T00&bas=000002&regions=0
14:18:20 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
10/22/2018 00H EST,26667,26789
10/21/2018 23H EST,27602,27777
10/21/2018 22H EST,27372,27390
10/21/2018 21H EST,26008,26203
10/21/2018 20H EST,24725,25033
10/21/2018 19H EST,23669,23929
10/21/2018 18H EST,22686,22876
10/21/2018 17H EST,22044,21911
10/21/2018 16H EST,21500,21427
10/21/2018 15H EST,21502,21041
10/21/2018 14H EST,21594,20895
10/21/2018 13H EST,21414,20905
10/21/2018 12H EST,21040,20718
10/21/2018 11H EST,20924,20333
10/21/2018 10H EST,20638,20131
10/21/2018 09H EST,19982,19555
10/21/2018 08H EST,19750,19316
10/21/2018 07H EST,19818,19421
10/21/2018 06H EST,20243,19829
10/21/2018 05H EST,20694,20498
10/21/2018 04H EST,21434,21536
10/21/2018 03H EST,22558,22763
10/21/2018 02H EST,24038,24399
10/21/2018 01H EST,25622,26077
10/21/2018 00H EST,26893,27355
10/20/2018 23H EST,27908,28537
10/20/2018 22H EST,28049,28503
10/20/2018 21H EST,27248,27448
10/20/2018 20H EST,26443,26752
10/20/2018 19H EST,25433,25767
10/20/2018 18H EST,24467,24711
10/20/2018 17H EST,23696,23936
10/20/2018 16H EST,23196,23295
10/20/2018 15H EST,23038,22826
10/20/2018 14H EST,22970,22625
10/20/2018 13H EST,22781,22514
10/20/2018 12H EST,22088,22210
10/20/2018 11H EST,21768,21750
10/20/2018 10H EST,21278,21346
10/20/2018 09H EST,20342,20487
10/20/2018 08H EST,19836,20000
10/20/2018 07H EST,19829,19982
10/20/2018 06H EST,20215,20422
10/20/2018 05H EST,20895,21176
10/20/2018 04H EST,21934,22271
10/20/2018 03H EST,23305,23512
10/20/2018 02H EST,25141,25438
10/20/2018 01H EST,26918,27331
10/20/2018 00H EST,28342,28871
10/19/2018 23H EST,29482,30183
10/19/2018 22H EST,29795,30224
10/19/2018 21H EST,29453,29560
10/19/2018 20H EST,28929,29291
10/19/2018 19H EST,28006,28524
10/19/2018 18H EST,27197,27574
10/19/2018 17H EST,26404,26674
10/19/2018 16H EST,25672,25777
10/19/2018 15H EST,25577,25379
10/19/2018 14H EST,25445,25222
10/19/2018 13H EST,25381,25146
10/19/2018 12H EST,25235,25067
10/19/2018 11H EST,25262,25045
10/19/2018 10H EST,24034,23980
10/19/2018 09H EST,21899,21689
10/19/2018 08H EST,20890,20391
10/19/2018 07H EST,20450,19960
10/19/2018 06H EST,20674,20218
10/19/2018 05H EST,21280,20798
10/19/2018 04H EST,21834,21750
10/19/2018 03H EST,22948,22829
10/19/2018 02H EST,24824,24812
10/19/2018 01H EST,26926,26994
10/19/2018 00H EST,28471,28647
10/18/2018 23H EST,29555,29785
10/18/2018 22H EST,29493,29397
10/18/2018 21H EST,28735,28270
10/18/2018 20H EST,28000,27583
10/18/2018 19H EST,27060,26699
10/18/2018 18H EST,26252,25838
10/18/2018 17H EST,25691,25091
10/18/2018 16H EST,25244,24476
10/18/2018 15H EST,25128,24232
10/18/2018 14H EST,25169,24253
10/18/2018 13H EST,25189,24410
10/18/2018 12H EST,25112,24711
10/18/2018 11H EST,25531,24961
10/18/2018 10H EST,24267,23820
10/18/2018 09H EST,21867,21504
10/18/2018 08H EST,20469,20137
10/18/2018 07H EST,20025,19691
10/18/2018 06H EST,20211,19904
10/18/2018 05H EST,20767,20355
10/18/2018 04H EST,21642,21220
10/18/2018 03H EST,22694,22547
10/18/2018 02H EST,24540,24488
10/18/2018 01H EST,26482,26706
10/18/2018 00H EST,28089,28375
10/17/2018 23H EST,29136,29547
10/17/2018 22H EST,28930,29086
10/17/2018 21H EST,27944,27845
10/17/2018 20H EST,27235,27151
10/17/2018 19H EST,26612,26357
10/17/2018 18H EST,25800,25511
10/17/2018 17H EST,25153,24776
10/17/2018 16H EST,24589,24220
10/17/2018 15H EST,24608,24042
10/17/2018 14H EST,24619,24101
10/17/2018 13H EST,24571,24316
10/17/2018 12H EST,24700,24574
10/17/2018 11H EST,25074,24870
10/17/2018 10H EST,23940,23945
10/17/2018 09H EST,21664,21492
10/17/2018 08H EST,20619,20105
10/17/2018 07H EST,20155,19655
10/17/2018 06H EST,20260,19842
10/17/2018 05H EST,20413,20380
10/17/2018 04H EST,21272,21245
10/17/2018 03H EST,22546,22720
10/17/2018 02H EST,24356,24598
10/17/2018 01H EST,26299,26861
10/17/2018 00H EST,27887,28505
10/16/2018 23H EST,28966,29715
10/16/2018 22H EST,28654,29224
10/16/2018 21H EST,27536,28074
10/16/2018 20H EST,26677,27606
10/16/2018 19H EST,25733,26918
10/16/2018 18H EST,24930,26060
10/16/2018 17H EST,24510,25353
10/16/2018 16H EST,24366,24716
10/16/2018 15H EST,24306,24529
10/16/2018 14H EST,24394,24582
10/16/2018 13H EST,24100,24754
10/16/2018 12H EST,24626,24943
10/16/2018 11H EST,24938,25250
10/16/2018 10H EST,23675,23879
10/16/2018 09H EST,21609,21486
10/16/2018 08H EST,20230,20197
10/16/2018 07H EST,19840,19721
10/16/2018 06H EST,20018,19864
10/16/2018 05H EST,20523,20414
10/16/2018 04H EST,21327,21248
10/16/2018 03H EST,22177,22931
10/16/2018 02H EST,23970,24856
10/16/2018 01H EST,25940,26922
10/16/2018 00H EST,27642,28512
10/15/2018 23H EST,28781,29594
10/15/2018 22H EST,28487,29013
10/15/2018 21H EST,27348,28323
10/15/2018 20H EST,26375,27835
10/15/2018 19H EST,25627,27274
10/15/2018 18H EST,24824,26525
10/15/2018 17H EST,24383,25857
10/15/2018 16H EST,24075,25293
10/15/2018 15H EST,24048,25089
10/15/2018 14H EST,24037,25110
10/15/2018 13H EST,24027,25095
