Balancing authority hourly actual and forecast demand 12 per 03 per 2018 – 12 per 10 per 2018 EST
https://www.eia.gov/realtime_grid/?src=data#/data/graphs?end=20181210T00&start=20181203T00&bas=000002&regions=0
19:32:45 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
12/11/2018 00H EDT,28657,27844
12/10/2018 23H EDT,29502,28749
12/10/2018 22H EDT,29945,29168
12/10/2018 21H EDT,29663,28817
12/10/2018 20H EDT,27204,26293
12/10/2018 19H EDT,25711,24833
12/10/2018 18H EDT,25411,24484
12/10/2018 17H EDT,25545,24336
12/10/2018 16H EDT,25627,24050
12/10/2018 15H EDT,25904,24049
12/10/2018 14H EDT,26043,24533
12/10/2018 13H EDT,26295,25067
12/10/2018 12H EDT,26366,25430
12/10/2018 11H EDT,26147,25361
12/10/2018 10H EDT,24517,23992
12/10/2018 09H EDT,22295,21447
12/10/2018 08H EDT,20821,19779
12/10/2018 07H EDT,20107,19080
12/10/2018 06H EDT,20119,19087
12/10/2018 05H EDT,20447,19433
12/10/2018 04H EDT,20791,20110
12/10/2018 03H EDT,22043,21263
12/10/2018 02H EDT,23866,22892
12/10/2018 01H EDT,25551,24425
12/10/2018 00H EDT,26546,25574
12/9/2018 23H EDT,27131,26168
12/9/2018 22H EDT,27391,26405
12/9/2018 21H EDT,27114,25909
12/9/2018 20H EDT,24471,22910
12/9/2018 19H EDT,22821,21296
12/9/2018 18H EDT,22191,20461
12/9/2018 17H EDT,21688,19962
12/9/2018 16H EDT,21304,19808
12/9/2018 15H EDT,21298,19813
12/9/2018 14H EDT,21445,20213
12/9/2018 13H EDT,21595,20614
12/9/2018 12H EDT,21368,20801
12/9/2018 11H EDT,21162,20542
12/9/2018 10H EDT,20836,20264
12/9/2018 09H EDT,20066,19502
12/9/2018 08H EDT,19630,19043
12/9/2018 07H EDT,19584,18978
12/9/2018 06H EDT,19903,19212
12/9/2018 05H EDT,20435,19738
12/9/2018 04H EDT,21291,20615
12/9/2018 03H EDT,22449,21594
12/9/2018 02H EDT,23850,23171
12/9/2018 01H EDT,25209,24640
12/9/2018 00H EDT,26058,25557
12/8/2018 23H EDT,26556,26084
12/8/2018 22H EDT,26856,26434
12/8/2018 21H EDT,26491,26131
12/8/2018 20H EDT,24066,23576
12/8/2018 19H EDT,22451,21989
12/8/2018 18H EDT,21382,21129
12/8/2018 17H EDT,20986,20939
12/8/2018 16H EDT,20972,21101
12/8/2018 15H EDT,21207,21246
12/8/2018 14H EDT,21886,21644
12/8/2018 13H EDT,22425,21926
12/8/2018 12H EDT,22737,21988
12/8/2018 11H EDT,22806,21598
12/8/2018 10H EDT,22379,21317
12/8/2018 09H EDT,21265,20383
12/8/2018 08H EDT,20562,19726
12/8/2018 07H EDT,20378,19575
12/8/2018 06H EDT,20666,19785
12/8/2018 05H EDT,21172,20333
12/8/2018 04H EDT,21937,21128
12/8/2018 03H EDT,23053,22655
12/8/2018 02H EDT,24722,24384
12/8/2018 01H EDT,26213,26071
12/8/2018 00H EDT,27303,27308
12/7/2018 23H EDT,27889,27927
12/7/2018 22H EDT,28407,28347
