Balancing authority hourly actual and forecast demand 01 per 31 per 2019 – 02 per 07 per 2019 EST
https://www.eia.gov/realtime_grid/#/data/graphs?end=20190207T00&start=20190131T00&bas=000002&regions=0
14:03:05 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
02/1/2019 00H EST,27128,26904
01/31/2019 23H EST,27923,27720
01/31/2019 22H EST,28404,28209
01/31/2019 21H EST,27382,27580
01/31/2019 20H EST,25835,25646
01/31/2019 19H EST,24864,24871
01/31/2019 18H EST,24744,24628
01/31/2019 17H EST,25358,24523
01/31/2019 16H EST,25095,24486
01/31/2019 15H EST,24690,24702
01/31/2019 14H EST,24844,25114
01/31/2019 13H EST,24727,25394
01/31/2019 12H EST,25269,25544
01/31/2019 11H EST,25419,25483
01/31/2019 10H EST,24149,23803
01/31/2019 09H EST,21972,21267
01/31/2019 08H EST,20511,19681
01/31/2019 07H EST,19940,19127
01/31/2019 06H EST,19984,19241
01/31/2019 05H EST,20363,19708
01/31/2019 04H EST,21183,20429
01/31/2019 03H EST,22179,21429
01/31/2019 02H EST,23639,23161
01/31/2019 01H EST,25397,25127
01/31/2019 00H EST,26814,26624
