Balancing authority hourly actual and forecast demand 12 per 15 per 2018 – 12 per 22 per 2018 EST
https://www.eia.gov/realtime_grid/#/data/graphs?end=20181222T00&start=20181215T00&bas=000002&regions=0
14:07:13 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
12/23/2018 00H EST,25737,25778
12/22/2018 23H EST,26255,26305
12/22/2018 22H EST,26629,26642
12/22/2018 21H EST,26497,26579
12/22/2018 20H EST,24277,24100
12/22/2018 19H EST,22651,22378
12/22/2018 18H EST,21851,21498
12/22/2018 17H EST,21216,21229
12/22/2018 16H EST,21057,21151
12/22/2018 15H EST,21357,21245
12/22/2018 14H EST,22048,21776
12/22/2018 13H EST,22555,22260
12/22/2018 12H EST,22574,22420
12/22/2018 11H EST,22547,22153
12/22/2018 10H EST,21899,21708
12/22/2018 09H EST,20839,20629
12/22/2018 08H EST,20158,19986
12/22/2018 07H EST,19897,19854
12/22/2018 06H EST,20103,20114
12/22/2018 05H EST,20700,20687
12/22/2018 04H EST,21524,21616
12/22/2018 03H EST,22787,22877
12/22/2018 02H EST,24455,24583
12/22/2018 01H EST,26084,26069
12/22/2018 00H EST,26886,26823
12/21/2018 23H EST,27533,27467
12/21/2018 22H EST,28099,28078
12/21/2018 21H EST,28138,28262
12/21/2018 20H EST,25657,26133
12/21/2018 19H EST,24408,24505
12/21/2018 18H EST,23931,23854
12/21/2018 17H EST,23871,23484
12/21/2018 16H EST,24184,23411
12/21/2018 15H EST,24642,23799
12/21/2018 14H EST,25115,24332
12/21/2018 13H EST,25663,24902
12/21/2018 12H EST,25796,25245
12/21/2018 11H EST,25543,25228
12/21/2018 10H EST,24367,23927
12/21/2018 09H EST,22226,21881
12/21/2018 08H EST,20867,20544
12/21/2018 07H EST,20268,20035
12/21/2018 06H EST,20484,20138
12/21/2018 05H EST,20899,20637
12/21/2018 04H EST,21572,21553
12/21/2018 03H EST,22855,22810
12/21/2018 02H EST,24639,24620
12/21/2018 01H EST,26689,26305
12/21/2018 00H EST,27858,27607
12/20/2018 23H EST,28546,28474
12/20/2018 22H EST,29045,28978
12/20/2018 21H EST,29118,28834
12/20/2018 20H EST,26852,26366
12/20/2018 19H EST,25601,25132
12/20/2018 18H EST,25108,24402
12/20/2018 17H EST,24876,23904
12/20/2018 16H EST,24466,23609
12/20/2018 15H EST,24550,23785
12/20/2018 14H EST,24794,24150
12/20/2018 13H EST,25193,24657
12/20/2018 12H EST,25650,25103
12/20/2018 11H EST,25934,25215
12/20/2018 10H EST,24810,24176
12/20/2018 09H EST,22438,22007
12/20/2018 08H EST,20826,20645
12/20/2018 07H EST,20246,20111
12/20/2018 06H EST,20293,20224
12/20/2018 05H EST,20746,20761
12/20/2018 04H EST,21611,21694
12/20/2018 03H EST,22844,22841
12/20/2018 02H EST,24770,24670
12/20/2018 01H EST,26764,26582
12/20/2018 00H EST,27932,27803
12/19/2018 23H EST,28594,28462
12/19/2018 22H EST,29083,28933
12/19/2018 21H EST,28933,28597
12/19/2018 20H EST,26410,26042
12/19/2018 19H EST,24968,24590
12/19/2018 18H EST,24346,23701
12/19/2018 17H EST,24249,23128
12/19/2018 16H EST,24096,22743
12/19/2018 15H EST,24147,22904
12/19/2018 14H EST,24193,23362
12/19/2018 13H EST,24845,23982
12/19/2018 12H EST,25490,24504
12/19/2018 11H EST,25947,24678
12/19/2018 10H EST,24830,24051
12/19/2018 09H EST,22557,21907
12/19/2018 08H EST,20997,20437
12/19/2018 07H EST,20339,19831
12/19/2018 06H EST,20365,19915
12/19/2018 05H EST,20640,20399
12/19/2018 04H EST,21426,21300
12/19/2018 03H EST,22687,23044
12/19/2018 02H EST,24581,25029
