Balancing authority hourly actual and forecast demand 09 per 02 per 2018 – 09 per 09 per 2018 EDT
https://www.eia.gov/realtime_grid/?src=data#/data/graphs?end=20180909T00&start=20180902T00&bas=000002&regions=0
19:26:51 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Category,CISO demand megawatthours,CISO demand forecast megawatthours
09/10/2018 00H EDT,33785,34969
09/9/2018 23H EDT,35032,36169
09/9/2018 22H EDT,35793,36367
09/9/2018 21H EDT,36020,36789
09/9/2018 20H EDT,34988,36023
09/9/2018 19H EDT,33477,34519
09/9/2018 18H EDT,31794,32862
09/9/2018 17H EDT,30126,31144
09/9/2018 16H EDT,28345,28829
09/9/2018 15H EDT,26815,26918
09/9/2018 14H EDT,25237,25440
09/9/2018 13H EDT,24154,24273
09/9/2018 12H EDT,23207,23371
09/9/2018 11H EDT,22597,22602
09/9/2018 10H EDT,22708,22679
09/9/2018 09H EDT,22471,22552
09/9/2018 08H EDT,22384,22483
09/9/2018 07H EDT,22724,22768
09/9/2018 06H EDT,23469,23404
09/9/2018 05H EDT,24649,24451
09/9/2018 04H EDT,26140,25959
09/9/2018 03H EDT,27843,28506
09/9/2018 02H EDT,30030,31041
09/9/2018 01H EDT,32499,33547
09/9/2018 00H EDT,34771,35495
09/8/2018 23H EDT,36111,36790
09/8/2018 22H EDT,37248,37269
09/8/2018 21H EDT,37662,37897
09/8/2018 20H EDT,36934,37457
09/8/2018 19H EDT,35700,36209
09/8/2018 18H EDT,33857,34643
09/8/2018 17H EDT,32209,32904
09/8/2018 16H EDT,30173,31149
09/8/2018 15H EDT,28420,29567
09/8/2018 14H EDT,26984,28103
09/8/2018 13H EDT,25981,26802
09/8/2018 12H EDT,25109,25778
09/8/2018 11H EDT,24387,24757
09/8/2018 10H EDT,24130,24241
09/8/2018 09H EDT,23605,23802
09/8/2018 08H EDT,23254,23477
09/8/2018 07H EDT,23446,23672
09/8/2018 06H EDT,24188,24381
09/8/2018 05H EDT,25270,25524
09/8/2018 04H EDT,26539,27110
09/8/2018 03H EDT,28216,28856
09/8/2018 02H EDT,30575,31468
09/8/2018 01H EDT,33168,34250
09/8/2018 00H EDT,35439,36335
09/7/2018 23H EDT,36670,37460
09/7/2018 22H EDT,37634,38419
09/7/2018 21H EDT,38378,39399
09/7/2018 20H EDT,38040,39262
09/7/2018 19H EDT,36766,38172
09/7/2018 18H EDT,34868,36751
09/7/2018 17H EDT,33330,35030
09/7/2018 16H EDT,31103,33162
09/7/2018 15H EDT,29793,31922
09/7/2018 14H EDT,28883,30732
09/7/2018 13H EDT,28233,29679
09/7/2018 12H EDT,27813,28967
09/7/2018 11H EDT,27344,27896
09/7/2018 10H EDT,26303,26574
09/7/2018 09H EDT,24308,24594
09/7/2018 08H EDT,23069,23536
09/7/2018 07H EDT,22786,23347
09/7/2018 06H EDT,23192,23804
09/7/2018 05H EDT,24152,24820
09/7/2018 04H EDT,25583,26270
09/7/2018 03H EDT,27055,27406
09/7/2018 02H EDT,29550,30088
09/7/2018 01H EDT,32255,33276
09/7/2018 00H EDT,34320,35581
09/6/2018 23H EDT,35070,36306
09/6/2018 22H EDT,35540,36922
09/6/2018 21H EDT,35806,37489
09/6/2018 20H EDT,35171,37052
09/6/2018 19H EDT,33798,35869
09/6/2018 18H EDT,32540,34152
09/6/2018 17H EDT,31265,32572
09/6/2018 16H EDT,29650,31082
09/6/2018 15H EDT,29355,30163
09/6/2018 14H EDT,28612,29478
